11,12,13,14,15,16,17,18,19,20,21,22,23,1
250,orts- gårds-,10 000 380,44,240,-,-,-,80,65,1918,700,Se anm. 9),14
25,orts- gårds-,10 000 380,12 18,48,31,260,45,10,20,1918,90,,15
30,orts- gårds-,10 000 380,14 21,67.5,85,600,350,25,25,1918,193,,16
-,,2 × 220,3,-,24,-,160,6,10,1914,14,,17
-,,220,2,-,3,35,-,1,2,1918,8,,18
100,orts- gårds-,10 000 380,47 65,160,212,1 100,380,60,70,1918,320,,19
-,,2× 220,3,-,6,80,-,3,5,1918,22,,20
-,,2× 220,3,-,11,60,18,5,8,1918,16,,21
,,2× 220,3,,,80,25,2,2,1917,6,,22
70,orts-,10 000,-,,-,-,-,,-,1918,9,Se anm. 10),23
85,orts- gårds-,10 000 38,,72,105,210,60,50,75,1921,85,Se anm. 10),24
-,2,2× 220,2,-,24,60,55,10,10,1917,19,,25
-,orts- gårds-,10 000 380,10 14,110,80,180,30,50,50,1921,45,Se anm. 11),26
-,,2 ×220,6,-,10,-,-,5,5,-,10,,27
-,,2×220,5,-,12,80,11,6,7,1916,23,,28
-,,2 × 220,1,-,70,-,60,50,40,1917,51,Se anm. 12),29
-,orts- gårds-,10 000 380,1,20,32,90,70,10,15,1918,50,,30
,,110,1,,1,40,-,1,2,1911,2,,31
,orts-,1 500,4,17,240,400,230,500,400,1918,905,Se anm. 13),32
,gårds-,380,7,,,,,,,,,,
85,orts-,6 000,11,55,-,-,-,-,-,-,-,,33
,gårds-,380,14,,,,,,,,,,
,2,220,,,0.5,,,1,1,1918,1,,34
,,110,,,,23,,2,2,1918,7,,35
