11,12,13,14,15,16,17,18,19,20,21,22,23,1
500,orts- gårds-,10 000 380 o. 220,32 50,865,735,700,200,600,300,1916,480,,228a
900,bygde- orts-,20 000 20 000,40,450,880,900,220,1 000,500,1916,700,Se anm. 44),229
100,gårds-,380 o. 3 2 ×220,60,,,,,,,,,,
,orts- gårds-,20 000 380,17 15,145,140,200,800,200,60,1918,175,,230
900,bygde-,20 000,12,700,400,-,-,(1 000),(400),1922,240,Se anm. 45,231
,gårds-,110,1,-,18,-,110,10,15,1894,8,Se anm. 46),232
-,,220,3,-,2,48,,2,3,1919,7,,233
,2,220,4,-,2'8,40,-,3,4,1918,8,,234
200,orts- gårds-,20 000 380,45 55,208,220,1 100,550,100,120,1918,280,Se anm. 47),235
-,,220,1,-,1,21,-,1,1,1918,2,,236
--,=,2 × 220,2,-,6.2,38,12,4,5,1918,12,,237
-,=,2 × 220,6,-,5,60,-,2,5,1918,21,,238
--,,220,1,-,1.5,20,-,1,1,1918,6,,239
-,,220,1,-,4,60,,2,4,1916,7,,240
,,2 × 220,3,,16,,15,10,15,1918,8,,241
,,2×220,2,,2.,,,2,4,1918,11,,242
,,220,1,-,11,-,20,5,7,1914,6,,243
,,220,1,-,6,-,30,2,3,1918,14,,244
-,,2×220,4,-,is,60,-,3,6,1918,15,,245
,,2×220,8,-,10,210,30,4,6,1918,14,,246
,,2 × 220,6,-,7,55,20,4,8,1918,11,,247
--,,380,4,-,8,200,-,4,7,1918,18,,248
-,,220,1,-,2,40,-,1,1,1916,2,,249
,,2×220,3,-,6.5,35,-,4,6,1921,12,,250
,,220,1,-,1,15,-,1,1,1917,2,,251
