11,12,13,14,15,16,17,18,19,20,21,22,23,1
-,gårds-,220,1,-,,12,-,1,1,1918,4,,203
-,,220,1,-,1.5,15,-,1,1,1918,5,,204
-,,2×220,3,,5,30,-,3,7,1918,12,,205
-,,220,1,-,8,10,-,4,7,1917,10,,206
-,,220,1,-,1,12,-,1,1,1914,2,Se anm. 26,207
1,,220,1,-,2,20,-,1,1,1918,6,,208
01,2,220,1,-,1,6,,1,1,1917,4,,209
,,440,2,-,1,15,-,1,1,1918,6,Se anm. 43),210
-,,220,1,,1,15,-,1,1,1918,5,,211
-,,220,1,=,1,12,-,1,1,1918,5,,212
,,220,2,-,3.1,20,-,2,3,1917,8,,213
-,,2 × 220,4,-,5,35,-,3,5,1917,16,,214
20,orts- gårds-,6 000 380,5.5 7,15,29,110,30,10,15,1919,68,,215
-,orts- gårds-,3 000 220,,270,280,-,-,200,150,1914,190,,216
,orts- gårds-,3 000 380,11 14,37,28,110,70,15,20,1918,55,,217
-,,2×220,6,-,10,100,-,4,6,1918,32,,218
-,,2 ×220,5,-,11,90,-,6,15,1919,36,,219
-,,220,1,-,1,8,-,1,1,1918,2,,220
15,orts-,6 000,5,15,12,90,-,6,10,1918,35,,221
,gårds-,380,7,,,,,,,,,,
15,orts-,6 000,6,17,21,120,60,7,15,1918,42,,222
,gårds-,380,9,,,,,,,,,,
50,orts-,10 000,33,135,95,300,60,26,40,1918,90,,223
,gårds-,380,54,,,,,,,,,,
-,,220,1,-,,20,-,1,1,1918,5,,224
-,»,2 × 220,2,-,15,90,12,5,10,1918,7,,225
40,orts- gards-,5 000 380 o.220,12 16,44,80,310,160,30,40,1918,140,,226
-,,2 ×220,6,-,26,-,220,-,,1918,32,,227
