11,19,18,14,15,16,17,18,19,20,91,22,23,1
-,gårds-,800,1,-,65,,-,30,35,1911,17,,319
,,110,1,-,17,-,40,30,27,1903,5,Se anm. 60),320
-,,2 ×220,6,,22,120,110,10,15,1920,35,,321
,,2 × 220,4,,23,20,-,10,15,1918,30,,322
-,bygde-,20 000,33,180,136,1 350,500,,,1918,190,,323
,orts-,1 500,28,90,,,,,,,,,
,gårds-,220,24,,,,,,,,,,
20,orts-,3 000,5,15,11,180,-,6,10,1918,48,,824
,gårds-,380,7,,,,,,,,,,
-,,110,1,,2,12,,1,,1918,3,Se anm. 26),325
-,,220,2,,2.5,40,,1,2,.1918,8,,326
-,orts- gårds-,5 000 380,-,-,-,-,-,,,-,-,,327
,,2 ×220,,-,,,,,,,,,328
,orts-,3 000,,,,,,,,,,,329
,gårds-,380,,,,,,,,,,,
,orts-,5 000,,,,,,,,1,-,,330
,gårds-,190,,,,,,,,,,,
-,orts- gårds-,3 000 380,,-,,-,,-,-,-,,,331
-,,2 × 220,,-,-,-,,-,-,-,-,,332
,orts-,6 000,,,,,,,,,,,
,gårds-,380,,,,,,,,,,,333
,=,380,,,,,,,,,,,334
,,220,,,,,,,,,,,335
,orts-,3 000,,,,,,,=,,,,336
,gårds-,380,,,,,,,,,,,
-,-,,,-,-,,,,,,,,337
,gårds-,2× 220,,,,,,,,,,,338
,,220,,,,,,,,,,,339
,-,,,,,,,,,,,,340
,-,,,-,,,,,,,,,341
