1,2,3,1,5,6,7,8,9,10
36 37,Bankeryd s:n Järstorp sin,"Månseryds gård, Bankeryd Lalleryds elektriska förening, Järstorp pr Jönköping",Vattenturbin,6 15,3 4.5,4 7.5,likström,,220 2×220
38,,"Rustorps gård, Järstorp pr Jönköping",»,7,2.5,5,,-,220
39 40,,"Järstorps elektriska distr .- för., Järstorp pr Jönköping Klammestorps gård, Jön- köping","Vattenturbin
Ab. fr.","12
Jönköpings","3
el .-","7.5
verk",trefas likström,50 -,10 000 220
41,Sandseryd sın,"A .- B. Sandseryds elektr .- verk, Sandseryd pr Jönköping",,25,14,20,trefas,50,380
42 43 44 45,,"Ledstorps elektr .- verk, Sand- . seryd pr Jönköping",,8 8.5 25 6,3 6 5,5 5 16 5,likström 2 2,- - - -,220 220 220
,,"Ängsfors snickerifabrikers A .- B.,Hovslätt. Nedrekraft- stationen Angsfors snickerifabrikers A .- B., Hovslätt. Övre kratf- stationen Åsafors elektr .- verk, Fabrikör J. Gustafson, Hovslätt. Nedre kraftstationen",,,,,,,
46 47,2,"Åsafors elektr .- verk, Fabrikör J. Gustafson, Hovslätt. Övre kraftstationen Hovslätts elektr .- verk, Gods- ägare S. Svenson, Kättils- torps gård, Jönköping",,5 50,4 5,4 72,2 trefas,- 60,220 800
48 49,Jönköpings stad,"Jönköpings stads elektr .- verk, Jönköping Munksjö A .- B., Jönköping","Angturbiner|
Vattenturbin
Ab. fr. tre","1 315
2 850
vattenkraftst.",- 41,"800 680 1 950
se anm.",likström trefas,50 - 50,10 000 2 ×220 10 000
50,Huskvarna stad,"Huskvarna Vapenfabr. A .- B., Huskvarna",,3 750,73,5 240,,50,10 000
51 52,Hakarp sin,"Huskvarnastads elektr .- verk, Huskvarna Hakarpsnätet","[Ab. fr.
Diesel 1
Ab. fr.","Huskvarna
-
Smålands","vapenfabr. A .- B.)
- 138 |
Kraft. A .- B.",,,50 50,10 000 30 000
53,Rogberga sin,"Klevarps elektr .- verk, Ten-
hult",Vattenturbin,15,3.5,12,likström,-,2 ×220
54 55,Barnarp,"A .- B. Norrahammars elektr .- verk, Norrahammar Stillesfors elektr .- verk, Bar- narp pr Jönköping",2,200 15,26.3 1.5,140 15,trefas likström,50 -,5 000 220
56 57,,"Norrahammars Bruk, Norra- hammar. Kraftst. vid Hök- hult Norrahammars Bruk, Norra- hammar. Kraftstation vid Slätten",,150 120,14 13,112 100,trefas,50 50,3 000 3 000
