1,2,3,4,5,6,7,8,9,10
203 204 205,Åker s:n,"Hallafors kraftstation, Åker
pr Skillingaryd Linnås kraftstation, Åker pr Skillingaryd Ljungsfors kraftstation, Åker pr Skillingaryd",Vattenturbin,25 15 20,3 2.8 3,2.1 3 12,likström,- -,220 220 2 × 220
206,,"Stensö bandfabrik, Åker pr Skillingaryd",2,15,2,10,,-,220
207,,"Elghammars träullfabrik, Åker pr Skillingaryd",,35,4,1,,-,220
208,,"Häradsköps elektricitets- verk, Skillingaryd",2,10,5,6.5,,-,220
209 210,=,"Hultafors kraftstation, Åker pr Skillingaryd Ängsfors kraftstation, Åker pr Skillingaryd",,10 15,2.5 2.4,7,2,- -,220 440
211,,"Gisslaköps elektriska för- ening, Aker pr Skillingaryd",,6,2,4,2,-,220
212,,"Kyllenfors kraftstation, Åker pr Skillingaryd",,17,7,5.5,,-,220
213,,"Åby kraftstation, Aker pr Skillingaryd",,10,,5.5,,-,220
214 215,- »,"Alaryds kvarn, Åker pr Skil- lingaryd Förebergs elektriska andels- förening, Åker pr Skillinga- ryd",2 2,15 22,3,12 20,2 trefas,- 50,2 × 220 380
216,Tofteryd s:n,"A .- B. Skillingaryds elektrici- tetsverk, Skillingaryd",,340,7.5,230,,50,3 000
217,,"Tofteryds elektriska andels- förening, Skillingaryd",Ab. fr. A .- B. Skillingaryds elektrici- tetsverk,,,,,50,3 000
218 219 220,» Haghult s:n,"Torps elektriska andelsför-
ening, Skillingaryd Tofteryds elektricitetsverk, Skillingaryd Möllefors kvarn, Klevshult",Vattenturbin,15 35 30,4 3. 4,7.5 25,likström,- -,2 × 220 2×220 220
221,,"Dammens elektricitetsverk, Klevshult",,40,2.5,18,trefas,50,380
222,,"Packebo elektriska förening, Klevshult",=,30,,18,,50,380
223 224 225,Kävsjö s:n,"Carl Herrlins distributions- anläggning, Hillerstorp Mjögaryds elektricitetsverk, Hillerstorp Hillerstorps elektricitetsverk, Hillerstorp",»,65 7 37,3 5 1.,50 2.3 15,likström,50 - -,380 220 2 × 220
226 227,Kärda sin 2,"Herrestads elektricitetsverk, Kärda Åminne fideikommiss' elek- tricitetsverk, Kärda",,50 40,12,60 30,trefas likström,50 -,220 2× 220
