1,2,,4,5,6,7,8,,10
319 320,Karlstorp s:n,"Pauliströms bruk, Järn- forsen. Boanäs kraftstation Pauliströms bruk, Järn- forsen. Pauliströms kraft- station",Vattenturbin,90 (445) 22,4.5 17,50 27,trefas likström,50 -,800 110
321,Ökna sin,"Ökna elektriska förening, Österökna",,25,,15,,-,2 × 220
322,,"Kvillesbruks elektricitets- verk, Kvillefors",,24,2.1,25,likström,-,2×220
323,Lemnhult s:n,F. d. Finsjö kraft A .- B. Distributionsnät i Jön- köpings län,"Kraftlev.
-","från kraftstationer i
Kalmar län",,,trefas,50,20 000
324,Näshult s:n,"Beskvarns elektricitetsverk,
Näshult",Vattenturbin,25,5,20,,50,380
325,,"Götafors möbelfabrik, Näs- hult",,25,3,2,likström,-,110
326,,"Nässja elektricitetsverk, Näs- hult",,10,1,4.2,,-,220
327,Gryteryd s:n,Börjeryds såg- och el .- verk,,-,-,45,trefas,50,-
328,Burseryd »,C. A. Carlsson,,,,5,likström,,-
329,Angerdshestra sin,Gullbergets el. and .- för.,,,,15,trefas,50,
330,Åker s:n,Åsafors bruk,,-,-,100,,50,-
331,Anderstorp sin,C. A. Andersson,,-,,26,,50,-
,Senare tillkomna anläggningar.,,,,,,,,
332,Malmbäck sın,P. Fornander,,-,-,10,likström,-,-
333,Bringetofta »,Skaftarps Kraftverk,,,-,23,trefas,50,
334,Haghult,A. W. Johansson,,,-,15,,50,
335,Alseda,A. Danielsson,Vattenhjul,,,4,likström,-,
336,Karsberga,K. A. Karlsson,,,,15,trefas,50,
337,Bottnaryd 2,G. Johansson,,-,-,-,likström,--,
338,Marback,"Ludv. Karlsson, Fagerhult",,,,10,,,
339,Lekeryd,F. O. Adelin,,,,5,»,,
340,Stenberga,Se nr 75 i Kalmar län,,,,-,,,
341 |,Näshult,Se nr 78 i,,,,,,,
