11,12,13,14,15,16,17,18,19,20,21,22,28,1
50,bygde- orts-,30 000 3 000,,50 -,41,80,45,20,40,1920,55,Se anm. 52),278
,gårds-,380,10,39,,,,,,,,,
-,,380,-,-,158,,-,80,100,1919,40,,279
30,,210,4,55,52,15,-,30,30,1919,35,,280
-,,220,2,-,2.5,90,-,1,2,1916,8,,281
-,,220,1,-,1.2,15,-,1,1,1918,7,,282
25,bygde-,30 000,1,5,53,35,10,20,25,1917,38,,283
,orts-,3 000,,,,,,,,,,,
,gårds-,380,3,,,,,,,,,,
-,orts-,2 000,17,44,22,280,120,15,20,1918,37,,284
,gårds-,380,15,,,,,,,,,,
-,,2 ×220,3,,7.5,20,10,3,6,1918,9,,285
--,,220,1,-,2'8,25,-,1,2,1918,6,,286
600,lands- bygde-,30 000 15 000,19,-,700,50,50,600,400,1893,80,Se anm. 53),287
160,orts- gårds-,2 000 220,4 10,,,,,,,,,,
250 40,bygde- orts- gårds- orts- gårds-,10 000 10 000 o. 1 500 380 o. 110 10 000 80,1 2,385 15 -,315 3,2 000 18,2 000 -,300 15,200 20,1918 1915,280 85,Se anm. 54),288 289
30,-,-,-,,,-,-,-,-,1918,-,Se anm. 54),290
-,gårds-,220,1,-,115,-,30,-,-,1897,26,Se anm. 55),291
- (150),-,-,-,-,-,-,-,-,-,-,-,,292
-,gårds-,110,3,-,21,15,-,10,15,1913,12,,293
250,bygde- orts-,10 000 10 000 0. 1 500,- -,312 16,230,400,500,100,150,1920 1918,200,Se anm. 20),294
,gårds-,380 0.110,,30,,,,,,,,,
,,500 0.220,1,,740,-,-,1 500,500,1909,15,,295
50,orts gårds-,10 000 220,,20,24,-,110,10,15,1918,85,,296
