11,12,13,14,15,16,17,18,19,20,21,2,28,1
--,gårds-,2×110,1,-,2,22,-,1,1,1918,10,,106
-,,220,5,-,4,36,-,2,10,1918,12,Se anm. 30),107
20,orts- gårds-,3 000 380,7 11,15,9,105,-,4,15,1918,110,,108
-,=,220,5,-,,30,-,1,1,1918,11,,109
-,,2 × 220,3,-,13.5,70,15,-,-,1918,46,,110
-,=,220,1,-,28,10,-,20,20,1916,4,Se anm. 26),111
20,orts-,3 000,2,-,24,55,20,8,15,1918,96,,112
-,gårds-,2 × 220,5,-,11,50,-,5,10,1916,36,,113
-,,220,2,-,1.,20,-,1,1,1918,9,,114
,,2 ×220,10,-,5,60,-,3,6,1918,33,,115
--,»,220,3,-,1,15,-,1,2,1918,6,,116
-,,220,4,-,1.,40,-,1,2,1918,15,,117
,,2×220,7,-,6.,75,-,3,10,1918,65,,118
-,,220,1,-,,3,-,1,1,1918,1,Se anm. 26),119
30,orts- gårds-,3 000 380,1 3,30,35,,16,30,30,1918,62,,120
,=,2 × 220,,,16,-,5,5,10,1917,17,,121
,,2 × 220,,,2,12,-,2,4,1917,7,,122
,,2×220,7,,,90,,3,5,1918,51,,123
,=,220,1,,2.2,10,,1,2,1915,3,,124
,,2×220,3,,1,15,,1,10,1918,6,Se anm. 31),125
225,orts- gårds-,10 000 380,11 20,210,320,150,60,150,180,1919,245,,126
-,,220,6,,4.4,80,,2,4,1918,36,,127
-,orts-,6 000,8,30,740,-,-,1 000,400,1918,260,Se anm. 32),128
-,gårds-,220,1,-,-,-,-,,-,1914,-,Se anm. 32),129
--,orts- gårds-,10 000 380,2 4,17.5,11,160,30,5,13,1919,9,,130
