1,2,3,4,5,6,7,8,9,10
58,Barnarp sin,"Norrahammars Bruk, Norra-
hammar. Kraftst. vid Verk- stadsgården",Vattenturbin,60,,80,trefas,50,3 000
59,,"Norrahammars Bruk, Norra- hammar. Kraftst. vid Plog- smedjan",,120,13.5,100,,50,3 000
60,,"Norrahammars Bruk, Norra- hammar. Södra kraftsta- tionen",,130,14,100,,50,3 000
61,,"Läsängs elektr .- verk, Norra- hammar",,5,1.,3,likström,-,220
62,,"Torsviks A .- B., Norraham- mar. Kraftst. för motor- drift",,40,6,40,,-,440
63,,"Torsviks A .- B., Norraham- mar. Kraftst. för belysning",,-,17,10,,-,110
64,,"Ubbarps elektr .- verk, Bar- narp pr Jönköping",,12,1℃,10,,-,2 ×220
65,,"F. d. Rogberga-Barnarps kraft A .- B., Barnarp pr Jönköping",,25,2,20,trefas,50,380
66,Månsarp s:n,"A .- B. Tabergs elektr .- verk, Smålands Taberg",2,40,5,30,likström,-,220
67,,"Tabergs yllefabriks A .- B., Smålands Taberg. Nedre kraftstationen",2,85,2.7,62,,-,220
68,,"Tabergs yllefabriks A .- B., Smålands Taberg. Ovre kraftstationen",,25,5.5,25,,-,220
69,,"Kåperyds elektricitetsverk, Månsarp",2,14,4.5,9,,-,2 × 220
70,,"Ängsfors snickerifabr. A .- B.,
Månsarp",Angmaskin,-,-,7,,-,110
,,"Viks trävaruaffär, Månsarp Månsarps elektricitetsverk,
Månsarp",Vattenturbin,15,4.5,3 9.5,,,220 2 ×220
,,,,,,,,,
73,Svarttorp sin,"Nässjö stads elektr .- verk, Ramsjöholmsanläggningen",,600,25,442,trefas,50,380
74,Järsnäs s:n,"F. d. Sunds elektr .- verk, A. J. Gustafsson, Sund, Nätarns
pr Ang","Vattenturbin
Ab. fr. Flisby distributionsanl. 80 1.3 60",,,,»,50 50,10 000 380
,,,,,,,,,
75,Barkeryd s:n,"Kramsängs kvarn, Barke- rydsby pr Ang",,15,4,4.5,likström,-,2× 220
76,,"Strömsfors elektr. verk, Bar- kerydsby pr Ang",,10,3.6,8,,-,2× 220
77,,"Boarps elektr .- verk, Forse- rum",,60,6,,,-,2 × 220
78,,"Lättarp-Broddarps elek- triska förening, Forserum",,9,3,6.5,,-,2 ×220
79,,"Esperyds elektr. förening,
Ang",Vattenhjul,3,,in,2,-,220
80,,"Gransängs elektr. förening,
Äng",Vattenturbin,3,5.2,4'1,=,-,220
