1,2,3,4,5,6,7,8,9,10
81,Forserum sin,Ortsdistributionen vid Äng,Ab. fr. Smålands kraft A .- B.,,,,trefas,50,30 000
82,,"Smålands kraft A .- B., Forse- rums ångcentral",Ångturbin,1 000,1,875,,50,500
83,,Forserum-Nässjö distribu- tionsnätet,Ab. fr. Smålands kraft A .- B.,,,,,50,30 000
84,Nässjö stad Mo härad.,"Nässjö stads elektr .- verk, Nässjö",Kraftlev. från Ramsjöholm Ab. fr. Smålands kraft A .- B.,,,,2,50 50 50,500 20 000 30 000 3 000
,,,Dieselmotor,410,-,346,,,
85,Bottnaryd s:n,"Tolabo gårds elektr .- verk,
Bottnaryd pr Jönköping",Vattenturbin,5,2.5,3,likström,,220
86,,"Bottnaryds elektr. förening, Bottnaryd pr Jönköping",,12,6,6,,-,2 × 220
87,,"Klevebo kvarn, Bottnaryd
pr Jönköping",Vattenhjul,15,3.5,1,,-,110
88,,"Elgaryds såg- o. elektr .- verk,
Bottnaryd pr Jönköping",Vattenturbin,20,4,5.5,,,2×220
89,Angerdshestra sin,"Röksbergs gårds elektr .- verk, Angerdshestra",,10,7,50,trefas,50,-
90,,"Yås elektr .- verk, Angerds- hestra",,7,6,4.5,likström,-,220
91,,"Arvidsbo, Elmås o. Harp-
hults elektriska förening, Angerdshestra",Vattenhjul,15,5,10.5,,-,2× 220
92,,"Munkabo o. Angerdshestra
elektr. för., Angerdshestra",Vattenturbin,12,9,7.5,»,-,2×220
93,Norra Unnaryd sin,"Spafors elektr .- verk, Mulse- ryd",,25,4.5,10,,-,2 × 220
94,,"Karsbo elektr. for., Mohärad",,14,4,6.5,,,220
95,,"Norra Unnaryds kyrkobys elektr. förening, Mohärad",,7,12,4.5,,,220
96 97,Bonstorp s:n,"Brynås elektr. för., Mohärad Gettrabo elektr. förening, Bonstorp pr Månsarp",2,10 8,3 6,5 4,,-,220 220
,,,,,,,,,
98,,"Bonstorp elektr. för., Bons- torp pr Månsarp",,6,4,3.5,,,2 × 220
99,Stengårdshult s:n,"Radaholms elektr. för., Sten- gårdshult pr Hestra",,25,4,4.5,,-,220
100,,"Sandsebo elektr. för., Sten-
gårdshult pr Hestra",Vattenhjul,12,3.5,5,,-,220
101,Öreryd s:n,"Skogsfors kvarn,J. Anderson,
Oreryd pr Hestra",Vattenturbin,13,1.2,10,2,-,220
102,Valdshult s:n,"Lilla Oghults elektr .- verk,
Öreryd pr Hestra",Vattenhjul,12,3,2,,-,220
103,,"Valdshults elektr. andelsför.,
Oreryd pr Hestra",Vattenturbin,9.5,12's,7.5,trefas,50,380
104 105,Åsenhöga sin »,"Ossafors såg o. kvarn, J. Nils- son, Åsenhöga pr Gnosjö Granstorps elektr .- verk, Åsenhöga pr Gnosjö",,30 6,19 10.2,2 3,likström,- -,110 2× 220
