1,2,,4,5,6,7,8,9,1
252,Norra Sandsjö sin,"Bodanäs-Ánhults kraft A .- B., Grimstorp",Vattenturbin,60,3.5,47,trefas,50,380
253,,"Bodafors möbelfabrik, Boda- fors. Övre kraftstationen",,100,7.5,80,,50,380
254,,Bodafors möbelfabrik. Boda- fors. Nedre kraftstationen,,45,5,24,,50,380
25,,"Haga elektricitetsverk, Boda- fors",,10,3,6,likström,-,220
256,,"Prinsfors kraftstation, Sävsjö",Vattenhjul,-,4.5,30,trefas,50,380
257,,"Torsets energiförening, Sav-
sjö","Ab. fr. Prinsfors kraftst., Sävsjö",,,,,50,3 000
258,Norra Ljunga sin,"Kråkefors kvarn, Sävsjö",Vattenturbin,15,4.5,10,likström,-,220
259,,"Komstads kvarn, Sävsjö",,12,3,3.5,,,220
260,Vrigstad sin,"Lundholmens gård, Vrigstad",2,30,4,10,,,2 × 220
261,,"Kvarnagårdens kraftstation, Vrigstad",2,114,,50,trefas,50,380
262,,"Vrigstads belysningsför- ening, Vrigstad",Ab. fr. Kvarnagårdens kraftst.,,,,,50,6 000
263,,"Gisabo o. Klinthults elek-
triska förening, Vrigstad",Vattenturbin,15,1.5,9,likström,-,2×220
264,Stockaryd sin,"Stockaryds elektricitetsför- ening, Stockaryd",Ab. fr. Kvarnagårdens kraftst.,,,,trefas,50,6 000
265,,"Smålands bränntorvs A .- B.,
Stockaryd",Angmaskin,85,-,60,,50,1 500
266,Hjälmseryd s:n,"Vesterkvarns elektricitets-
verk, Stockaryd",Vattenturbin,15,2,4,likström,-,2×110
267,,"Brohults elektricitetsverk, Stockaryd",,8,2.5,4,,-,2× 220
268,Nydala sın,"Långö m. fl. orters elektri-
citetsforening, Stockaryd",Vattenhjul,-,3,10,,-,2 × 220
269,Vallsjö s:n,"Sävsjö samhälles elektrici- tetsverk, Sävsjö",Ab. fr. Smålands kraft A .- B. 1,,,,trefas,50,30 000
270,2,"Sävsjö sanatorium, Sävsjö",Ab. fr. Savsjö samhälles el .- verk,,,,,50,3 000 220
,,,Ångmaskin,50,-,37,likström,,
271,Hultsjö s:n,"Agunnaryds elektriska för-
ening, Stockaryd",Vattenturbin,20,5,,,-,2×220
272,Bäckaby sin,"Bäckaby elektriska förening, Bäckaby pr Landsbro",,25,6,20,trefas,50,380
273,Ramkvilla sin,"Västerkvarns kraftstation, Ramkvilla",2,20,3,1.5,likström,-,110
274,,Hallsnäs gårds elektricitets-,Ab. fr. Smålands,,kraft A .- B.,,trefas,50,10 000
,,"verk, Ramkvilla",Vattenturbin,45,7,30,,50,3 000
275,,"Skärstorps m. fl. byars elek- triska förening, Ramkvilla",,12,11,10,2,50,380
,Södra Vedbo h:d.,,,,,,,,
276 277,Flisby sin Norra Solberga s:n,"Eksjö stads elektricitetsverk. Sunneränga elektricitets- verk, Flisby Distributionsnätet i Sol- berga o. Flisby",Ab. fr.,"8
Smålands","3
kraft","5
A .- B.",likström trefas,- 50,220 30 000
