11,12,13,1,15,16,17,18,19,20,21,,23,1
-,-,-,,-,-,-,-,-,-,1917,-,,58
-,-,-,-,-,-,-,-,-,-,1910,,,59
-,-,--,-,-,-,-,-,,-,1899,-,,60
,gårds-,220,2,-,1,12,-,1,1,1918,3,,61
-,=,440,1,-,31,-,,50,30,1914,24,Se anm. 23),62
3,-,110,-,,7.5,-,-,5,7,1914,2,,63
-,gårds-,2× 220,5,-,9,38,63,3,5,1918,21,,64
20,orts- gårds-,10 000 380,7 10,32,15,180,30,10,15,1918,70,Se anm. 24),65
-,,220,8,-,42,12,-,15,25,1912,61,,66
-,,220,2,-,88,16,-,150,60,1893,28,Se anm. 25),67
-,,,,-,,-,-,-,-,1915,-,,68
-,gårds-,2 ×220,8,-,31,88,31,10,8,1919,25,,69
-,,110,1,-,3,-,-,1,2,1904,2,Se anm. 26),70
-,-,-,-,,2,-,-,1,,1917,2,Se anm. 26),
,gårds-,2 ×220,12,,32,16,45,10,02.00,1917,46,,
442,bygde-,20 000,27,442,60,-,120,5,20,,400,Se anm. 27),73
,gårds-,380,2,,,,,(700),(350),,,,
20,orts-,10 000,12,40,37,180,110,10,20,1918,125,Se anm. 28,74
,orts-,1 500,11,30,,,,,,,,,
60,gårds-,380,24,,,1,-,,,,,,
-,2,2 × 220,6,,,35,15,3,4,1918,28,,75
-,,2×220,7,-,14,90,40,6,7,1917,19,,76
,,2 × 220,4,-,5.5,85,,2,4,1918,14,,77
-,,2 ×220,6,-,8.7,90,35,4,5,1918,18,,78
-,»,220,4,-,6.2,-,70,3,5,1918,11,,79
-,,220,3,,2,30,-,2,3,1918,7,,80
