1,2,3,4,5,6,7,8,9,10
14,Säby sin,"A .- B. Åsvallehults elektrici-
tetsverk, Tranås. Vrigge- bo kraftst. med tillhörande distributionsnät",Vattenturbin,135,3,85,trefas,50,4 000
15,=,"Hulu elektriska förening, Säbydal",,32,12,25,,50,380
16,Lommaryd s:n,"Munkakvarns elektricitets- verk, Frinnaryd",,38,4.5,30,,50,380
17,,"Noåns elektricitetsverk, Frinnaryd",,16,1.6,10,likström,-,2× 220
18 19,2 Vireda s:n,"Kliaryds elektricitetsverk, Frinnaryd Ruppens kraft A .- B., Bunn",,5 125,2'4 26,3.5 100,trefas,50,220 380
20,,"Kieryds elektricitetsverk, Vireda",,15,3,9.5,likstrom,-,2 × 220
21,Marbäck s:n,"Vrangsjö elektricitetsverk, Vrangsjö pr Frinnaryd",,20,4,12,,-,2 × 220
22 23 24 25,,"Herrestads elektricitetsverk, Marbäck pr Aneby",,7,3.5,4,,--,2×220
,2 Bälaryd s:n,"Vittaryd-Stolpets elektrici- tetsverk, A. Målkvist, Ane- by. Vittaryds kraftst. Vittaryd-Stolpets elektrici- tetsverk, A. Målkvist, Ane- by. Stolpets kraftst. och distributionsnät Thorstorps elektricitetsverk, Aneby",2,164 175 25,4 10,70 85 15,trefas likström,50 50 -,380 380 2×220
26 27 28,Bredestad s:n,"Flisby distr .- anläggn., Flisby. Ägare Ing. Hjalmar Carl- son, Tranås Aneby elektricitetsverk, A.J.
Anderson, Aneby Bona elektricitetsverk, Ane- by","Vattenturbin
Ab. fr. A .-","10
12
B. Åsvallehult","|
3 3
el","5 7.6
.- verk",trefas likström,50 - -,10 000 2×220 2 × 220
29,Tveta härad. Bankeryd s:n,"Motorplogfabriken June, Bankeryd",,45,7,40,,-,2×220
30,,Ortsdistr. i Bankeryd,Ab. fr. Habo sulfitfabr. i Skaraborgs län,,,,trefas,50,10 000
31 32,2,"Attarps säteri, Bankeryd Domeåns kraft A .- B., Banke- ryd. Klerebo kraftstation",Vattenturbin,5 125,3 12,3'5 100,,50 50,110 1 650
,,,,,,,,,
33,,"Domeåns kraft A .- B., Banke- ryd. Hovstorps kraftst.",,650,68,600,,50,16 600
34,,"Lindhults kvarn, Bankeryd",Vattenhjul,10,4,1,likström,,220
35,,"Flaskebo elektricitetsverk, Bankeryd",Vattenturbin,4.,14,3.5,,,110
