11,12,13,14,15,16,17,18,,20,21,22,23,1
,gårds-,2 ×220,4,-,2.8,45,--,2,4,1917,9,,18
-,,2×220,6,,,60,-,2,3,1918,12,,182
-,,220,4,,,45,-,1,2,1918,8,,183
-,,220,3,-,2.7,32,-,1,1,1919,6,,184
-,,2×220,3,-,4'1,60,-,,4,1918,11,,185
-,,2 ×220,3,-,2.6,28,-,2,4,1919,12,,186
-,forts- lgårds-,10 000 1 380,1,-,1'8,10,-,1,1,1903,1,,187
-,,2×220,6,-,12,160,-,5,15,1918,24,,188
,,2×220,4,,3,20,-,1,1,1908,7,,189
-,,2×220,2,-,3.7,40,,3,5,1918,7,,190
-,,2 × 220,5,-,9,35,60,5,8,1918,21,,191
-,R,220,5,-,,-,35,5,10,1918,7,,192
-,,2 × 220,6,-,5,60,-,4,6,1918,14,,193
,,2× 220,3,,3.7,40,-,3,6,1918,12,,194
25,orts- gårds-,6 000 380,,22.5,22,180,110,10,18,1918,84,,195
,,2 ×220,10,-,,90,-,4,5,1918,20,,196
-,,2×220,5,-,2,30,,1,2,1918,9,,197
-,,220,1,,1,5,-,1,1,1917,3,,198
,,220,1,-,1,6,,1,1,1918,1,,199
-,,2×220,4,,60,40,,30,40,1907,18,Se anm. 42),200
,,9500.220,1,-,116,10,-,100,80,1907,23,,201
30,orts- gårds-,10 000 380,7 9,35,26,140,60,10,20,1918,89,,202
