,1,13,14,15,16,17,18,19,20,2,22,,1
120,orts- gårds-,20 000 380,6 9,77,120,200,200,50,70,1918,40,Se anm. 20),81
350,lands- gårds-,30 000 500,3 1,-,-,-,-,(400),(700),1921,80,,82
150,bygde-,10 000,67,390,2 560,2 000,1 500,300,200,1918,850,Se anm. 20),83
100,orts-,10 000 o. 1 500,16,34,,,,,,,,,
200 500 1 000 -,gårds- orts- gårds-,110 0.380 3 000 220,100 5 20,250,1 500,45,15,2 000,1 200,-,-,Se anm. 29),4
-,,220,1,-,2.5,20,-,1,1,1918,7,,85
-,=,2 ×220,4,-,3.3,80,,1,2,1918,12,,86
,,110,1,-,0'8,5,--,1,1,1918,2,,87
-,,2×220,2,-,3 7,65,-,1,2,1918,15,,88
-,orts- gårds-,6 000 380,2,-,2.5,20,-,1,1,1918,11,,89
-,,,2,-,1.5,20,-,1,1,1918,7,,90
-,,2×220,7,-,20,45,15,6,8,1920,12,,91
,,2 × 220,3,-,4,60,-,2,5,1920,14,,92
-,,2×220,6,,7.5,55,14,3,8,1918,27,,93
,,,,,,,,,,1921,,,
,,220,,,3.3,30,-,1,1,1918,12,,94
,,220,,,5:2,40,10,2,4,1918,11,,95
-,,220,,,2.5,25,,1,1,1918,9,,96
,,220,,,2,30,,1,1,1918,12,,97
-,,2 ×220,4,-,3,40,-,1,1,1918,12,,98
,,220,3,-,3.1,40,-,1,1,1917,8,,99
,2,220,3,-,5,15,5,3,4,1918,10,,100
,,220,5,-,7,35,7,3,6,1918,14,,101
-,,220,1,,2,-,5,1,1,1918,2,,102
7.5,orts- gårds-,3 000 380,2 3,6,10.2,40,6,6,6,1918,40,,
-,,110,-,-,1,2,-,1,1,1918,2,,104
-,,2 × 220,1,-,1.8,20,-,1,1,1918,7,,
