1,2,,1,5,6,7,8
117,Sorunda norra el. distr .- fören.,Sorunda,Ab. från Älvkarleby kraft- verk,-,-,-,3-fas
118 119,Sorunda el. distr .- fören. Osmo el. distr .- fören.,Ösmo,,-,-,-,
120,Djursnäs el. distr .- fören.,"Sorunda, Ny- näs",,,,,
121,Ortsdistr. i Torö (Al. Berlin)| och A .- B. Torö Taktegel,Torö,,-,-,-,
122 1,Nynäshamns El. A .- B. och Kungl. Telegrafverket,Nynäs,(Nynäshamns kraftstation Kraftlev. från Älvkarleby - kraftverk,d,-,130,
123/,"Järna el. distr .- fören., Järna municipalsamhälle",Över-Järnao. Ytter Järna,Ab. från Älvkarleby kraft-\ verk,-,,-,
124,Mörkö el. distr .- fören. Se nr 97 i Södermanlands län,,,,-,-,=
125 126 127 128,Vårdinge el. distr .- fören: m. fl. G. Bång Segeltorps el. distr .- fören. Österhanninge el. distr .- förening,Vårdinge Huddinge Österhan- ninge,Ab. från Älvkarleby kraft- verk Sundby Ab. från Älvkarleby kraft- verk 2 A,- v - -,- . - -,- 7 - -,3-fas L 3-fas
