1,2,,4,5,6,7,8,9,10,11,12,1:,1.,15,16,1,18,19,1
39,Ortsdistr. söder om Lid- köping 4,"Mellby, Kål- lands-Asaka, Sävare, Lind- ärva, Hovby, Norra Harene",) Ab. från Kraft A .- B. Gullspång- Munkfors,,-,,3-fas,50,10000/380,-,30,350,900,120,-,1 020,,.,39
40,Norra Kållands el. distr .- fören. m. fl. 5,"Strö, Sunners- berg, Göss- lunda, Råda, Skalunda, Örslösa",Ab. från Kraft A .- B. Gullspång- Munkfors,-,-,,,50,10000/380,-,30,500,1 100,135,-,1 235,,,40
41,"Kristinedals Nya Ullspinneri
A .- B.",N. Härene,Resville Ab. från Kraft A .- B. Gullspång Munkfors,V,3-3.5 -,75,,50,10000/3000/220,-,,,,,,,,-,41
42,Alfr. Håkansson,N. Härene,Resville,V,..,20,,50,380,--,-,,,,,,,,49
43,"Kraft A .- B. Närefors-Härje-
vade","Härjevad,
Järpås, Gill- stad, Tranum m. fl.",Närefors Samarbete med Kraft A .- B. Gullspång-Munkfors,-,,400,,50,10000/500/,,35,500,1 250,1 175,-,1 425,,,43
44,Halla el. distr .- fören.7,"Hällum, Jung, Long, Skar- stad m. fl.",Bodar Ab. från Trollhätte kraftverk,V,6,100,,50 25/50,¥10000/380,-,,.,,,,,,,44
45,A. E. G. Claesson,V. Gerum,Mindre kraftstation,v,.,,,-,220,-,-,-,,,,,,,45
46,Nils Kuylenstjerna,,,,.,.,,,220,-,,,,,,,,,46
47,Blombacka egendom,Vinköl,,,.,,,,.,,,,,,,,,,
48,"Salström, E.",Marum,Hospitals kvarn,,,.,,,2 × 220,,,,,,,,,,48
49,Mindre distr .- företag,,Bränningeberg,,.,.,,,.,,,,,,,,,.,49
50,"Dahlén, E. och H.",,Marum,,.,,,-,2×220,,,,,,,,,.,50
51,Mindre distr .- företag,,Frälsegården,,.,,,,,,,=,,,,,,,51
52,Trollhätte kraftverk och Håkantorps samhälle,Levene,Sekundärstationen i Håkantorp,,,,-fas,25,50000/10000/190,.,,,,,,,,,52
53,Levene el. distr .- fören.,,Ab. från Trollhätte kraftverk,,,,,25,10000/1500/380,50,4,68,114,25,24,163,113 300,890,53
54,Smedtofta egendom,,,,,,,25,10000/190,10,,,10,1,,11,2 700,150,54
55,Järpås el .- verk,"Järpås, Häggesled",,,,,,25.,10000/1500/380 och 10000/380,100,17,165,212,49,6,267,144 600,1 500,55
56,Domö egendom,Järpås,,,,,,25,10000/190,10,,-,16,3,1,20,8 300,140,56
57,Hellebergs egendom,Hällum,,,,,,,10000/190,20,,,19,12,1,21,8 000,200,57
58,Nordhalla egendom,Saleby,,,,,,,10000/380,25,-,,22,,-,24,4 900,310,58
59,Spannmålslagerhuset i Vara,Vara,,,,,»,,10000/1agsp.,120,,,.,,,.,,,59
60,Vara köpings el .- verk,,»,-,,,,,10000/3000/190,150,6,53,266,186,65,517,321 400,600,60
61,Naums el. distr .- fören.,Naum,,,,,,25,10000/1500/380,30,3,28,115,,50.0,143,63 600,1 099,61
62,Önums el. distr .- fören.,Onum,»,,,,,25,10000/1500/380,30,4,50,152,25,,183,78 300,1 015,62
63,Tråvads el. distr .- fören.,Tråvad,,,,,,,10000/1500/380,50,3,50,185,22,4,211,99 800,1 580,63
64,Bjerrtorps egendom,Fyrunga,,,,,»,,10000/lågsp.,40,-,,63,20,84,167,146 300,350,64
65,"C. Vinrot, Kvänum och Edsvära el. distr .- fören.",Kvänum,»,,,,,,10000/190 och 10000/3000/380,190,16,165,452,92,24,568,295 900,2 585,65
66,Budatorps el. distr .- fören.,Öttum,,,-,,,25,10000/3000/380,100,9,124,303,29,14,346,84 200,1 719,66
67,Rangeltorps egendom,Önum,»,,,,,25,10000/ lågsp.,40,-,,41,8,6,55,38 200,280,67
68,Längjums el. distr .- fören.,Längjum,,,,,,25,10000/3000/380,60,4,77,216,23,4,243,37 400,·1 193,68
69,Vedum-Möllentorps el. distr .- fören.,"St. Lundby, Önum",,,,,,25,10000/380,-,2,22,68,8,2,78,14 700,475,69
70,A .- B. Vedums el .- verk,Laske-Vedum,,-,-,,»,25,10000/380,-,2,59,139,25,16,180,173 000,740,70
71,Larvs el. distr .- fören.,Larv,,,,-,,25,10000/380,-,2,25,91,16,7,114,18 900,569,71
72,Ryda el. distr .- fören.,Ryda,,,-,,,25,10000/380,,6,102,132,24,10,166,44 400,1 515,72
