1,2,,4,5,6,7,8,9,10,11,12,13,14,15,16,1,18,19,20,1 1
186 187,Hilmer Kellman Köpmannebro el. distr .- fören.,"Skållerud Holm, Skålle- rud",Ingribyn Ab. från Trollhätte kraft- verk,V,. -,075 -,3-fas,50 50,10000/380 20000/3000/380,.,. 6,75,45,36,12,93,27 300,385,,186 187
188,Håvreströms A .- B.,Upperud,Håverud,v,- 9.5,4 200,,50,20000/lågsp.,,.,,,,,.,,,,188
189,A .- B. Upperuds trämassefabr.,Skallerud,Upperudsfallen,,4,36,,,,,.,.,,.,,,,,,189
190a,Sv. silikattegelfabr.,Animskog,Djupelund,,.,90,3-fas,50,5000/380,,.,.,.,.,..,..,,,,190a
b,,,Säljedalen,,11 088,100,,50,4000/380,,.,,,.,.,.,,,,
191,Trollhätte kraftverk. Sekun- därstationen i Animskog,,,-,,-,,50,50000/20000/3000,,,,,,,,,,,191
192,Ö. Ånimskogs el. distr .- fören.,,Ab. från Trollhätte kraft- verk,,-,,2,50,3000/380,-,6,85,75,20,-,95,29 200,565,,192
193,Gruv A .- B. Lake Copper,,2,,-,-,,50,20000/lågsp.,,.,,,,,,.,,,193
194,Elektromangan A .- B.,,2,,,,,50,20000/lågsp.,,.,.,.,.,.,.,.,.,,194
195,Tegnersfors A .- B.,,2 Rodane,V,- 35,- 60,,50,20000/lågsp. 2×220,,.,.,.,,.,,.,,,195
196 197,Hannebols bruk Tösse-Tydje el. distr .- fören.,Tösse,Hannebols övre nedanfall Ab. från Trollhätte kraft- verk,,17.8 -,110 -,. 3-fas,50,20000/3000/380,-,6,75,50,27,. 1,78,20 200,744,,196 197
198a,Åmåls stads el .- verk,Mo,Hanefors,V,27.5,450,,50,3000/380,,,,,,,,,1,,198a
,,,Korsbyn,,13,110,,50,3000/380,,,,,,,,,,,
b,,Åmåls If.,Ab. från Trollhätte kraft- verk,,,-,,50,20000/3000,,,,,,,,,,,b
c,,Åmåls stad,Nygård,v,6,100,,50,3000/380 och 220,,,,,,,,,1,,
,,,lÅmåls kraftstation (Ab. från Trollhätte kraft-,d,:unselected:,125 -,3-fas,- 50,2 ×220 20000/3000,,,,,,,,,,,c
199,Knut Larsson,Mo,verk Låbyfors,v,10,50,,50,3000/380,,,(Se nr 299 i Värmlands län),,,,,,,,199
200,A. Gustafsson,Åmåls lf.,Kvarnberg,,3.6,33,. 06,,,,,,,,,,,,,200
201,Tveta el. distr .- fören.,Se nr,282 i Värmlands län,-,,,-,,,,,,,,,,,,,201
202,Laxarby Kvarn och El. A .- B.,Laxarby,Laxarby,v,15.7,100,3-fas,50,3000/220,,,,,,,,,,,20
203,Gustavsfors Fabr. A .- B.,,Skåpafors,,.,21,,,220,,,,,,,,,,,203
204,A .- B. Billingsfors-Långed,Steneby,Billingsfors,2,6.5,1 060,3-fas,50,380,,,,,,,,,,,20
205,,,Långed,,12.3,3 000,,50,5000/220,,,,,,,,,,,205
206,A .- B. Mustad & Son,,Mustadfors,,,410,,50,500,,,,,,,,,,,206
207,E. Hansson,,,.,.,100,,50,3000/190,,,,,,,,,,,"20
207"
208,Rämne Kraft A .- B.,Håbol,Gråsjö,V,.,20,,50,3000/220,,,,,,,,,,,208
209,Elektrokemiska A .- B.,Artemark,Bengtsfors,,3,500,,50,3000/-,,,,,,,,,,,
210,Ärtemarks El. Kraft A .- B.,"Artemark, Torrskog",,,.,75 0001:0000,,50,3000/220,,,,,,,,,,,210
211,Nössemarks el. distr .- fören.,Nössemark,Ab. från kraftstation i Norge,--,-,- 088100,,50,5000/220,,,,,,,,,,,211
212,Dals-Ed-Rolanda,Dals-Ed,Kalbotten,,.,125,,50,10000/380,,,,,,,,,,,212
213,A .- B. Hökedalens kraftst.,,Hökedalen,,.,45,,50,10000/380 och 110,,,,,,,,,,,213
214,Ernst Samuelsson,,,,,15,I,-,2×110,,,,,,,,,,,214
215,A .- B. Grorads kvarn & såg,2,,,".
0º1",000810000,,,220,,,,,,,,,,,215
216,Mons El. A .- B.,Töftedal,Mon,,,18,3-fas,50,3000/380,,,,,,,,,,,216
217,Sarps el. and .- fören.,Gesäter,Fjätta .,,4.6,e120,,-,110,,,,,,,,,,,217
218a,Bäckefors El. A .- B.,Bäcke,Bäckefors nr 2,,.,22,,-,2×220,,,,,,,,,,,218a
b,,,1,,.,90,3-fas,50,3000/380,,,,,,,,,,,b
