1,2,,4,5,6,7,8,9,10,11,19,1,14,1,16,17,18,19,20,1
161 162 163,Ortsdistributionen i Kinna etc. Viskans Kraft A .- B.,"Kinna, Frits- la m. fl. Örby Berghem",Ab. från Viskans Kraft A .- B. Kungsfors Lekvad,- V »,- 16 4,- 6 250 550,3-fas,50 50 50,30000/12000/380 30000/12000/190 30000/12000 och 6000/380,,.,,. · .,,.,. .,.,,,161 162 163
164,"Ortsdistributionen från Lek-
vad 1","Hlyssna, Hag-
rim, Berg- hem m. fl.",Ab. från Viskans Kraft- A .- B.,-,-,-,,50,12000/380,,,,,,,,,,,164
165,S. Marks el. distr .- fören.,"Harred, Is- torp, Örne- valla",,-,-,-,,50,30000/3000/380,,,,,,,,,,,165
166,M. Bengtsson,Harred,Vosse,V,,21,,50,3000/380,,,,,,,,,,,166
167,S. A. Johansson,Kungsäter,,,".
.",,,-,2 × 220,,,,,,,,,,,167
168a,Rydals Manuf. A .- B.,Kinna,Stämmervad Rydal,,8 4,275 350,3-fas,50,3000/190,,,,,,,,,,,168
169,Fjärås Kraft A .- B.,"Sätila, Björ- ketorp",Se nr 19 i Hallands län,-,-,,,50,10000/380,,,,,,,,,,,169
170,Ingeruds vilohem,Sätila,Ingerud,v,.,.,L,-,220,,,,,,,,,,,170
171,"E. Svensson m. fl., Björkäng",Björketorp,Hellingsjö såg,,.,15,,-,220,,,,,,,,,,,171
172,Knut Gustafsson m. fl.,,Apelnäs,"""",.,,,-,220,,,,,,,,,,,172
173,Forssa bruk,Bollebygd,Forssa Ab. från Trollhätte kraft- verk,-,. -,34,3-fas 2,"50
25",3000/500,,.,,,,.,.,,,,173
174,Bollebygds el. distr .- fören.,,,,-,,2,25,20000/3000/380,180,-,107,75,88,-,163,76 200,741,,174
175,Hindås el. distr .- fören.,Björketorp,,,,,,25,20000/3000/380,180,3,33,24,35,2,61,44 800,-,,
176,Grönkullens väveri,Bollebygd,( Grönkullen Ab. från Trollhätte kraft- verk,V -,8.5 -,130 -,,50 1 25,3000/·,,,,,,,,,,,176
177,Sv. mått- och tumstocks- fabriken,"Bollebygd, Sandhult",Hultafors Ab. från Trollhätte kraft- verk,V,21 -,150 -,,50 25,20000/3000/220,,,,,,,,,,,177
178,"Ortsdistributionen från Hul-
tafors",Bollebygd,Ab. från Sv. mått- och tumstocksfabr.,-,-,,,50,3000/220,,,,,,,,,,,178
179,Gesebols el. distr .- fören.,,Geskeby,V,,56,=,50,3000/380,,,,,,,,,,,179
180,Sandhults och Bollebygds el. distr .- fören.,"Sandhult, Bollebygd",Bertilshult,,:,20,,50,3000/380,,,,,,,,,,,180
181,Herm. Vednell m. fl.,Bollebygd,Hedegärde,,,12,L,-,440,,,,,,,,,,,181
182a,"Assarebyns och Vena Kraft
A .- B.","Frandefors,
Bråland, Bolstad, Gestad",(Böns kvarn Ab. från Trollhätte kraft- verk,>» -,3'6 -,50 -,3-fas,50 50,10000/och 4000/380 20000/10000,,17,232,330,140,9,479,-,4 182,,182a
b,"Assarebyns och Vena Kraft
A .- B.","Frändefors,
Bråland, Bolstad, Gestad",Assarebyns kvarn,v,,75 (88)000,,50,10000/380,,,,,,,,,,,b
182,Böns El. Kvarn A .- B.,Ör,Böns,»,2.3,50,,50,3000/190,,,,,,,,,,,183
184,Melleruds köpings el .- verk,Holm,Ab. från Trollhätte kraft-,-,-,-,»,50,20000/3000/190,,,,,,,,,,,184
185,Ör-Melleruds El. Kraft A .- B. och Melleruds El. A .- B.,"Ör, Holm","verk
Stampen",v,13,140,,50,10000/190 och 380,,,,,,,,,,,185
