1,2,3,4,5,6,7,8,9,10,11,15,13,14,1
75,23,J. Elfving & D. Olsson,Arnäs,Älfsöden,V,3,,Likström,-,220,,,Närmare uppgifter saknas.,76
77,21,P. & O. Vestin,,Thorsböle,V,7,127,,-,220,-,,,77
78,19,Idbyns Kraftstationsförening ....,,Idbyn,v,6,,,,2×220,-,,»,78
79,15,Landsjö Elektr. Belysningsförening.,,Abon. från Gammelbyns Kraft A .- B.,---,-,,Trefas,50,20000/380,4,40,,79
80,15,Fabrikör V. Hörnlund,"Trehörnings
sjö",,,,4,Likström,,220,,,,80
81,21,"L. J. Bylund, Täfteå",Arnäs,"Täfteå, Brunnsnyland",V,6,7,Likström,,2×220,-,-,--,81
82,24,,,Domsjö sulfitfabrik,,-,250 200,,,,16,84.5,För industridrift och belysning,82
83,24,|Mo och Domsjö A .- B.,Själevad,Domsjöverkens såg,,,430,Trefas,50,"f 40000/3000,",2,2 200,å arbetarbostäder.,83
,,,,Kraftlev. från Gideåbacka kraftstat.,,,,,,1 500 och 115,,,,
84,23,Näfvertjäl-Hanabäcks byamän,,Hanabäck,V,8,7,Likström,,2 × 220,1,,,
85,23,"Fors kraftstation, Gunsjö",,Fors,v,,20,Trefas,50,6000/220,3,17,,
86,23,Stenslands byamän,,Stensland,V,7,4,Likström,-,220,,,,86
87,23,Mo Elektriska Kraftförening,Mo,Moforsen,V,6,100,Trefas,50,10000/220,10,100,,87
88,23,A .- B. Gottne ...,,Gottne,V,6,25,Likström,-,220,,-,Enbart industri.,88
89,50,Järveds Mek. Verkstad,Arnäs,Abon. från Örnsköldsviks stads Elektricitetsverk,,-,10,/ Likström 1 Trefas,- 1 50,3000/500,1,50,,89
90,50,Järveds Ångsåg.,»,,,-,75,,50,500,-,-,=,90
91,50,Alne Sågverk,,,,,80,Likström,-,220,-,--,,91
92,50,Bonässunds Slip,,,,,15,,,110,,,,92
93,50,,,JAbon. fr. Gottne-Yttersels El. A .- B.,å,,150,Trefas,50,10000/3000,,,,93
,,Örnsköldsviks stad,Örnsköldsvik,\Örnsköldsvik,d,,180,Likström,,2×110,1,400,,
94,23,Flärke byamän,Mo,Flärke,V,4,14,,,2 ×220,,,,94
95,23,Billsta Angsågs A .- B.,Själevad,Billsta,,-,18,»,,220,,,Industri huvudsakligen.,95
96,,Forss A .- B.,Nätra,Bjästa,V,4,180,,,,,,,J 96
97,,,,Fors,v,11.5,850,Trefas,50,20000/380,2,1 000,Enbart för industriella ändamål,97
98,24,,,Köpmanholmen,,-,400,,,,,,,98
99,24,"Skule Elektriska Kraftförening, Sör- bygden",,Skule,v,10,,Likström,,2 × 220,,,,99
100,24,Andelsfören. Norums Elektr .- verk,,Norum,v,6,1,,,220,,,,100
101,24,"Svedje Kraftledn .- förening, Bjästa .",,Abon. fr. A .- B. Bjästa El .- verk,V,-,,Trefas,50,12000/220,1,10,,101
102,24,"Björsby Elektricitetsverk, byamännen",,Björsby,v,-,,obetydlig:,,närmare uppgifter saknas,,,,102
109,24,Sörgårds Elektricitetsverk,,Sörgård,V,5,6,Likström,,220,,,Närmare uppgifter saknas.,103
10,38,Ulvö Elektricitets A .- B.,,Ulvö Elektricitetsverk,V,17.5,,,,2 ×220,,,,104
105,24,Björkåbäcks byamän,,Björkåbäck.,V,8,1,,-,220,,,Närmare uppgifter saknas.,105
106,24,Forss A .- B.,,Brynge,v,6,7,,-,220,-,,--,106
107,26,Edsbordets Belysningsförening,Ed,Abon. fr. Sollefteå sns elektr. verk,,-,-,Trefas,50,"20000/3000/220
1 1 20000/220",4,40,,107
108,26,Eds Södra Belysningsförening,,,-,-,-,,50,,CO,30,,108
109,27,Sollefteå sockens elektricitetsverk,Sollefteå,Nyland .,V,21,200,,50,,"S
17",380,---,109
110,28,Sollefteå stad.,,Bruket ..,V d,45,420 210,,50,5000/190,22,700,---,110
11,28,,,Tunsjöström,v,14,250,,,,,,,1 111
112,27,Multrå Lyseförening,Multrå,Abon. fr. Sollefteå sins elektr .- verk,,,,2,50,20000/220,,20,,112
113,27,Hakesta-Strinne Belysn .- förening,,,,,,,50,20000/220,3,25,,113
14,27,Flo Belysn. A .- B.,Långsele,»,,-,,,50,20000/380,3,30,,114
115,41,Graningeverkens A .- B.,,Forsse,,18,7 550,,50,40000/5000/220,4,160,Huvudsakligen industriell drift.,115
