1,2,,1,5,6,7,8,9,10,11,12,13,14,1
266,48,Skönsmons Belysnings A .- B,Sundsvall,Abon. fr. Sundsvalls stad,,-,,Trefas,50,5400/380,,,,266
267,61,Skönviks A. B. Transf. centr.i Sundsvall,Selånger,Kraftlev. från Nedansjö kraftstation ..,,,,,50,40000/5000,2,1 800,För leverans till Sundsvalls stad,267
268,61,Vester- och Lillro byamän,,Lillro,V,5,8,Likström,-,2 × 220,-,-,,268
269,61,Huljens byamän,,Huljen,A,5,8,,,2 × 220,-,-,,269
270,62,"Kvarsät Kvarn, Silje",,"Silje, 2 stationer",V,2,2,,,220,,,,270
271,78,Böle Elektr. A .- B,,J Sidsjo Abon. från Wii El. A .- B.,v,16.5,10 -,Trefas,50,6000/380,-,-,,271
272,61,Sättna Elektr. Andelsförening ....,Sättna,Abon. fr. Skönviks A .- B.,,-,-,,50,6000/220,5,45,,272
273,62,Västra Gårdtjärns Elektr. Andelsfören.,,,v,2,10,Likström,,2 × 220,-,,Närmare uppgifter saknas.,273
274,62,Västansjö Elektr. Andelsförening,,,v,4,15,,,2 × 220,,,,274
275,62,Skönviks A .- B.,,Norefors,V,4,5,=,,220,,-,,275
276,62,Osk. Bergström.,,Johannesfors,V,3,32,Trefas,50,6000/220,1,10,,276
277,63,Sättna Elektr. A .- B.,,Flata (Fredriksfors),v,4,30,Likström,-,2 × 220,-,-,Närmare uppgifter saknas.,277
278,62,Nora byamän.,,Nora ovan Norasjon,V,,-,,-,2 × 220,,--,A,278
279,62,Lövsätts och Gårdtjärns El. Fören ..,=,Olofsfors,v,3,10,Trefas,50,2000/190,2,20,,279
280,62,Sunds A .- B.,,Sulå,v,3,10,Likström,-,220,-,-,,280
281,78,Wii Elektr. A .- B.,Tuna,Wiiforsen,v,6,2 100,Trefas,50,20000/6000/380,,80,,281
282,61,"Male. Sundin, Bergom",,Bergom,v,18.5,9,Likström,,2 × 220,-,,,282
283,61,Skönviks A .- B.,,Matfors,v,8.5,122,Trefas,50,"40000/1500/380
1 och 800/130",9,100,Delvis industri.,283
284,61,Skjöle Elektr. Distr .- förening,,Abon. fr. Skönviks A .- B.,,-,,,50,6000/220,3,30,,284
285,76,Täljeåslätt Elektr. A .- B ..,Attmar,Täljeåslätt,v,8.5,100,,50,10000/220,16,255,,285
286,76,Trävaru A .- B. Svartvik,,Sörfors,V,12,50,,50,10000/220,,,Arrend av Täljeåslätts El. A .- B.,286
287,75,Hassels Elektr. Förening,,Abon. fr. Widings kraftstat. i Wigge,,--,-,=,50,6000/220,4,40,,287
288,75,Norrtjärnsbäckens kraftstation,,Norrtjärnsbäcken,V,20,,Likström,-,2 × 220,-,,Närmare uppgifter saknas.,288
289,76,Långskogs Kraftstation,,Långskog,v,-,,,,2 × 220,-,,,289
290,76,Hassels,,Gryttjen,v,,,,,220,-,,,290
291,76,Mindre anläggning,,,v,-,-,,-,2 × 220,-,,,291
292,76,,,,V,,,,-,220,,,,292
293,57,Sunds A .- B.,Alnö,Kraftlev. fr. Lagfors kraftst. Nyvik,,,- 12,Trefas Likström,50,3000/220 220 1,1,100,Huvudsakl. industri.,293
294,57,Skönviks A .- B.,,Nacka,,,50,,,220,,-,,294
295,57,Hörningsholms Trävaru A .- B.,,Hörningsholm,å,,40,,,-,,-,,295
296,57,Myrnäs A .- B.,,Myrnäs,,,68,,,220,-,-,,296
297,57,Ankarsviks Angsågs A .- B,,Ankarsvik,,,65,,,220,,,,29
298,57,J. A. Enhörnings Trävaru A .- B.,,Carlsvik,,,186,,-,220,,,,298
299,57,Nilsson & Johansson,,Alvik,å,,20,,,220,,,,299
300,57,Stornäsets sågverk,,Stornäset,,,40,,,-,,,-,300
301,57,Utviks Ångsågs A .- B.,,Utvik,,-,50,,,,-,-,,301
302,57,Johannesnäs Sågverks A .- B.,»,J Johannesnäs,,,18,,-,220,,,,302
,,,,Abon. fr. Sunds A .- B,-,-,-,Trefas,50,3000/220,1,30,Huvudsakl. industri.,
303,57,Hofvids A .- B.,,Hofvid,,-,160 1 195,Likström,50,380 220,-,-,,- 303
304,57,Norrviks Ångsågs A .- B.,,Gustafsberg,,-,,,,,-,,,304
305,57,,,Eriksdal,,,63,,-,220,,,Huvudsakl. industri.,305
306,57,Strands Nya A .- B.,,Strand,å,-,50,2,-,-,-,,,306
307,57,Ankarsviks Ångsågs A .- B,,Gustafshamn,å,,44,,,220,,,Huvudsakl. industri.,307
308,57,Alnö Elektriska Förening,,"Abon. fr. Sunds A .- B., Sund",,,-,Trefas,50,3000/220,8,140,,308
309,77,Torsjö Elektriska Andelsförening ...,Njurunda,"Torsjö, 2 stationer",v,"8.5
16","75
170",,50,10000/220,14,150,,309
310,77,Juniskärs Elektriska Förening,,Abon. fr. Torsjö El. Andelsförening,,-,,,50,10000/380,4,50,,310
