11,12,13,14,15,16,17,18,19,20,21,22,23,1
-,gårds-,220,1,,2,45,-,2,2,1918,7,,15
-,gårds-,220,3.5,-,4,50,,5,3,1918,8,4) o. 5),16
(200),bygde- gårds-,10 000 380,28 40,300,215,1 217,553,110,80,1920,310,12,17
-,gårds-,2×250,8,-,15,350,-,8,12,1917,30,13,18
-,gårds-,110,,,20,,55,3,15,1903,3,5,19
-,orts- gårds-,4 000 380,98,56,82,400,200,120,40,1915,45,14,20
-,gårds-,380,1,-,40,-,425,15,25,1916,15,5) o. 15),21
-,gårds-,220,4,-,10,100,25,3,5,1920,30,16,22
60,bygde- gårds-,10 000 380,10 12,45,22,150,165,20,15,1920,100,14,23
-,gårds-,110,-,,1,5,-,1,1,1918,1,17,24
200 (6 000),lands-,40 000,-,-,2 500,,-,(50),5 200),1908,1 400,18,25
,bygde-,10 000,5,,,,,1 500,800,,,,
,orts- gårds-,"4 000 800,380 6.2×110","6 0.4, 10, 36",2 150 -,,,,,,,,,
,gårds-,220,-,-,1,--,-,1,1,1918,2,5,26
199 -,gårds-,110,1,,7,110,-,8,7,1918,8,5,27
,bygde- gårds-,10 000 380,20 25,170,168,2 000,700,90,54,1919,230,,28
100,bygde- gårds-,10 000 380,30 70,329,390,4 254,1 688,180 35,130,1915,400,19,29
