11,12,19,14,15,16,17,18,19,20,21,22,23,1
,orts- gårds-,3 000 380,1.6,5,7,70,30,1,5,1919,4,,102
550,bygde- gårds-,12 000 1 o. 3 000 380,6's 14.9,660,870,,400,1 000 200,400,1905,580,40,103
.,orts- gårds-,3 000 220,-,390,325,110,2 990,150,100,1912,70,50,104
,,,,,,,,,,,,,
,orts-,3 000,,20,19,15,155,5,15,1921,8,,105
,gårds-,220,2,,,,,,,,,,
- 000 8-,orts-,3 000,4.5,135,260,-,,90 4,57,1913,10 8,,106 107
,gårds-,500 o. 220,,4.5,10,-,-,,,,,,
,gårds-,380,2,,,,,,3,1918,,,
,gårds-,220,0.5,-,1,12,-,1,1,1918,1,4),108
-,gårds-,220,2,-,2,30,-,2,2,1918,5,"4), 5) o. 14)",109
-,gårds- gårds-,380 2 × 220,4 7.5,- -,77 7,30 100,- -,90 4,50 4,1901 1917 1918,20 20,5) o. 39),110 111
-,gårds-,220,3,-,2,30,-,2,2,1918,8,3) o. 4),112
-,gårds-,2 × 220,11,--,43,300,-,25,25,1917,50,,113
-,gårds-,110,0.5,-,2,-,-,2,2,1917,1,5) o. 51),114
-,gårds-,2×220,4,-,7.5,350,-,5,5,1918,15,4) o. 5),115
-,gårds-,2 × 220,7,-,5,160,,4,4,1918,19,4) o. 5),116
00 050,gårds-,2 ×220,3,-,5,197,-,1,4,1918,10,,117
-,gårds-,220,-,-,0'5,,,1,1,1919,,52,118
-,gårds-,220,1,-,3,15,--,2,2,1919,11,5) o. 58),119
188 -,gårds-,220,4,,4,100,,2,2,1919,13,5),120
,,,,,,,,,,,,,
