1,2,,4,5,6,7,8,9,10
48,Sibbarp sın,"Gödeby kvarn och elektri-
citetsverk, Mjölnare Nils Carlsson, Risen pr Langas",Vattenturbin,8 12,4.5,4,likström,,220
49,Köinge s:n,"Domarps kraftförening, Fabrikör C. F. Johansson, Köinge",Vattenturbin,10,00,6-5,likström,-,2×220
50,2,"Nydala kvarn och elektri- citetsverk, Patron Adolf Larsson, Köinge",Vatten- turbiner,25 (30,3,12,likström,-,2×220
,,,,,,,,,
51,Okome s:n,"Okome kraftförening, Okome",Vattenturbin,50,3,40,trefas,50,500
52,»,"Okome kvarn och elektrici- tetsverk, Patron Per Eng-",Vatten- turbiner,20 (36,,12,likström,-,2 ×220
,,,,,,,,,
53 54 55 56,,"ström, Lynga pr Okome Gällsås elektricitetsverk,
Lantbr. Karl Dahlberg. Gällsås pr Okome Yngeredsfors kraft a .- b., Mölndal, kraftstationen vid Atrafors, Atrafors Yngeredsfors kraft a .- b. Mölndal, kraftstationen vid Yngeredsfors, Yngereds- fors pr Atrafors Yngeredsfors kraft a .- b., Mölndal, landslinjer och transformatorcentraler inom Hallands län","Vattenturbin
Vattenturbin Vatten- turbiner -",5 3 060 11 973 -,7 15 18 -,3 2 200 9 900 -,likström trefas trefas trefas,- 50 50 50,220 10 000 4 000 40 000
57 58 59 60 61 62,Ljungby sin,"Attarps kvarn, Kvarnäg.
Per Persson, Attarp, Risen pr Långås",Vattenturbin,6 10,4,4,likström,-,220
,Alvshög sin Vinberg sin,"Truestorps kvarn och elek-
tricitetsverk, Kvarnägare Karl Andersson, Risen pr Långås Töllstorps kvarn och elek- tricitetsverk, Kvarnägare Karl Johansson, Sofielund, Vinberg Fors kvarn och såg, ägare Sydsvenska kraft a .- b., Malmö, innehavare Kvarn- ägare Alfred Johansson, Vessigebro Bols och Dals kraftbolag,
Patron Karl Bohlers, Vessigebro Vinbergs elektriska för- ening, Vinberg","Vattenturbin
Vattenturbin
Vatten- turbiner Vatten- turbiner
Ab. från
tricitetsverk,","15 15 (20 48 25
Falkenbergs","7.5 3 6.5 8
stads
Falkenberg","9.5 12 9 20
elek-",likström likström likström trefas trefas,- - - 50 50,220 220 220 380 5 000
63,Falkenberg stad ...,"Falkenbergs stads elektrici- tetsverk, Falkenberg",Vatten- turbiner Angturbin Råoljemotor,1 340 534 450,5 -,1 125 453 380,trefas trefas trefas,50 50 50,5 000 5 000 5 000
