11,12,19,14,15,16,17,18,19,20,21,22,2,1
00 -,gårds-,220,-,-,1,-,-,1,1,1919,-,,121
50,bygde- gårds.,10 000 380,6 3,50,40,100,-,30,30,1921,45,54),122
(3 500),orts-,3 000,16.5,80,2 300,,-,5 000,3 000,1890,1 250,55,123
,gårds,220 o. 2× 110,2 0. 45,2 900,3 100,,,,,1910,,,
-,orts-,3 000,-,225,375,-,100,40,30,1890,15,39,124
-,gårds-,380 o. 190,,,,,,280,130,,,,
-,gårds-,220,0.5,-,20,10,25,10,10,-1904,1,5) o. 51),125
-,gårds-,220,6,-,5,200,-,2,5,1919,16,3 0. 1),126
15,orts- gårds-,3 000 380,2.5 1,15,26,50,61,10,15,1918,30,"4), 5) o. 56)",127
-,orts- gårds-,3 000 380,00 00,5,6,100,-,2,4,1918,25,3,128
-,gårds-,2×220,3,-,13,325,-,6,10,1918,30,"4), 5) o. 14)",129
-,gårds-,220,-,-,5,10,,5,5,1917,3,5) o. 57),130
-,orts- gårds-,3 000 220,1.7 -,20,3,120,--,2,3,1916,12,3,13 31
,gårds,220,0.5,--,2,60,-,1,2,1918,5,5,132
-,orts- gårds-,1 500 380,2.2,12,33,-,400,10,20,1918,15,"4), 5) o. 58)",133
- 100 06.,gårds-,2 ×220,1,-,22,100,200,6,15,1914,6,5),134
-,gårds-,2 × 220,4.5,-,7.5,240,-,5,7,1919,14,"3), 4) o. 5)",135
100,bygde- orts-,20 000 1 500,6 5,17.5,110,600,800,85,65,1914,110,50,136
,gårds-,500 o. 220,8 0. 10,11,,,,,,,,,
-,gårds-,380,0 5,,105,-,-,260,100,1912,2,,137
(600),gårds-,380,,-,1 000,17,-,25 (500),330 (1 000),1908,5,5) o. 60),138
-,gårds-,380,13,-,89,620,380,40,30,1911,48,,139
