11,12,13,14,15,16,17,18,19,20,91,22,,1
008-,gårds-,2×220,4,,2,70,-,1,1,1918,9,4),83
-,gårds-,220,,-,1.5,27,-,1,1,1918,6,'),84
-,Forts- gårds-,1 500 110,2.5 1.5,6,8,175,-,6,5,1919,15,5) o. 40),85
-,gårds-,220,-,-,0',15,,1,0.5,1919,-,5,86
-,gårds-,2 ×220,5,-,4,160,-,2,3,1917,13,*) o. 14),87
-,gårds-,220,4,-,4,63,-,2,3,1917,17,"3) 4), o. 41)",88
-,gårds-,2×220,5,-,4,125,-,3,3,1918,15,"4), 5) o. 14)",89
-,orts- gårds-,3 000 380 0.190,2.5,110,52,-,25,20,30,1910,60,42),90
-,gårds-,2 ×220,11,-,4,100,-,3,3,1918,20,4) o. 43),91
35,orts- gårds-,3 000 380,3.5 11,35,46,30,100,20,30,1918,87,44),92
-,gårds-,110,2'5,-,70,,-,133,60,1889,30,5) o. 30),93
-,gårds-,800 o. 150,1 o. 0 5,68,900,-,=,1 500 200,450,1907,500,45,94
1,orts-,1 000,3,1,38,-,335,30,20,1901,12,5) o. 46),95
-,gårds-,110,-,,1,115,-,,,1918,,,
145,orts- gårds-,6 000 380 o. 220,12 .. 12 14,3,410,1 600,800,170,110,1913,350,47),96
--,gårds-,380,0,-,14,-,350,5,15,1918,20,,97
150,bygde- orts-,10 000 1 500,21 25,280,210,100,3 700,120,110,1920,325,,98
,gårds-,380,8,,,,,,,,,,
40,orts-,6 000,,55,55,175,250,12,25,1918,90,4) o. 48),99
50,gårds-,380,5,,,,,13,,,,,
-,orts- gårds-,1 500 380,15 20,60,150,100,1 200,35,60,1918,150,,100
- -,orts- gårds-,3 000 380,- 1.5,5,7,75,75,1,5,1919,4,3) o. 4),101
