An- lägg. nin- gens nr,"Härad eller tings- lag samt samhälle, socken eller landskommun, vari anläggningen i sin helhet eller till väsentlig del är belägen",Anläggningens namn och adress,Uppgifter beträffande energikälla,,,,,,
,,,Drivmotor,,Ut- byggd fall- höjd,"Total gene- rator- effekt (cos ""=0.8)",Elektriskt system å generatorerna eller å den anläggningen tillförda energien,,
,,,Slag,Sam- manlagd storlek,,,Ström- art,"Period-
ta","Spän-
ning"
,,,,hkr,meter,kVA,,pr/s.,volt
1,2,3,1,,6,7,8,9,10
,Fjäre härad.,,,,,,,,
1,Lindome sin.,"Anderstorps spinneri, Lin- dome, äg. Aug. Wærn & C:o. Göteborg","Ab. från Yngeredsfors kraft a .- b., Mölndal",,,,trefas,50,40 000
2 3,,"Gastorps distributionsan- läggning, A .- B. J. B. Coll- dens Möbelaffär, Lindome Lindome by elektriska för- ening, Handl. Carl A. An- dersson, Lindome","Ab. från
Ab. från","Anderstorps spinneri,
Anderstorps spinneri, Lindome Lindome",,,trefas trefas,50 50,800 210
,,,,,,,,,
4,,"Dvärreds elektriska för-
ening, Dvärred, Lindome",Vattenturbin,8,3.5,5.7,likström,-,2× 220
,,,,,,,,,
5,» »,"Finnebäckens elektriska för-
ening, Gräggered, Hälles- åker pr Lindome",Vattenturbin,20,11,12,likström,-,2 ×220
6,,"Hällesåkers elektricitetsför-
ening, Hällesåker pr Lin-
dome","Vattenturbin
(Vattenhjul)",40 20,5,25,likström,-,2×220
7,Släp sin,"Yngeredsfors kraft a .- b., Mölndal. Bygdelinjen Släp -Särö -Kungsbacka",,,-,-,trefas,50,10 000
8,,"Särö elektricitetsverk, Särö, äg. Civiling. C. T. Kolmo- din, Stockholm","Ab. från Yngeredsfors kraft
Mölndal",,,"a .- b.,",trefas,50,10 000
9 10 11,Älvsåker s:n »,"Toljagårdens kvarn och elektricitetsverk, Lantbr. E. Brogren, Berget, Släp Röshults såg och elektrici- tetsverk, Kvarnäg. Theodor Thulin, Röshult, Sjöbo pr Anneberg Alafors kvarn och elektri- citetsverk, Kvarnäg. Albert Andersson, Alafors, Anne- berg",Vatten- turbiner Vattenhjul Vatten- turbiner,15 (40 10 8 (56),40 4 3,12,likström likström likström,- - -,220
,,,,,,3 5,,,110 110
12,,"Älvsåkers kraft a .- b., Anne- berg",Vatten- turbiner,100,23'5,75,trefas,50,380
13 14,Kungsbacka stad. Fjärås s:n,"Kungsbacka stads elektrici- tetsverk, Kungsbacka Fjärås kraft a .- b., Kungs- backa","Vatten- turbiner
Ab. från
Ab. från","Mölndal 600 Mölndal
Yngeredsfors
Yngeredsfors","3.9
kraft
kraft","515
a .- b.,
a .- b.,",trefas trefas trefas,50 50 50,10 000 380 10 000
