11,,3,,5,6,7,8,9,10,11
29,Barkaryd och Erings- boda,,Fagerfors,Kraftstationen belägen i Kronobergs län (se nr 40 i Kronob. län),,,,,,
,,,Gjuteri & Mek. Verk- stad 18,,,,,,,
30 31,Hjorts- berga Tving,Djurtorp Alnaryds kvarn,Hj. Gustafs- son Emil Pet- tersson,Ång- maskin,9 85 100,-,Trefas 50 Likström,1 500 500,6 60 60,c:a 1 00 > 60 00
32 33,,Yabrofallet,S. E. Brun- berg Bergs m. fl. byars belys- ningsfören.,Vatten- turbin Ang- maskin Vatten- turbin,16 8 25,3.3 - 7.3,2,2 × 220 2 × 220,16 16,> 10 00 6 00
34,Nättraby,Marielund,S. Heller- ström,,25,,,220,20,$ 5 00
,,,Nättraby Läderfabr.,,65,,,220,50,» 100 00
36,Rödeby,Rödebyholm,A. Daniels- son,,35,8,,2 × 220 110,19,""" 5 00"
37 38,Angerum,Bubbetorp Lyckeåborg,G. Berg- ströms sterbhus Lyckeå- borgs Spik- fabr. (L.L.Liberg,,25 7,8 4-4.5,,2 × 220 220,14 5,4 00 > 6 00
,,,,,,,,,15 088,
