1,2,,,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,1
26,Dannemora gruvintressenter,Dannemora,Ab. från Älvkarleby kraftverk,:unselected:,:unselected:,:unselected:,3-fa:50,,20000/ .,.,2,1 500,1 070,87,91,1 248,-,1 425 722,,26
27,Gimo-Österby Bruks A .- B.,Film,,:unselected:,:unselected:,:unselected:,,50,20000/500/220,.,4,2 600,1 850,143,360,2 353,250,1 847 392,,27
,(Upplanda och Berga el.),,,,:unselected:,,,,,,4,18,20,10,2,32,155,6 282,,
28,distr .- fören.,Tegelsmora,,"-
:unselected:",-,:unselected:,,50,20000/1500/220,100,1,,,,,,,,,- 28
,Gyllby el. distr .- foren.,,,,,,,,,,9,22,36,9,1,46,300,15 936,,
29,Tegelsmora el. distr .- fören.,,,-,,-,,50,20000/3000/220,,1 27,135,101,46,6,153,1 000,47 145,,29
30,Gimo-Österby Bruks A .- B.,,Tobo kraftstation,:unselected:,"- .
:unselected:","-
:unselected:",,50,20000/3000/220,90,1 3,56,58,23,6,87,300,8 084,,30
31,JE. v. Rosen och,,(Kettslinge,,"-
:unselected:",,,,20000/3000/220,-,1,90,110,25,5,140,,154 721,,31
,[Örbyhus el. distr .- fören.,Vendel,\Ab. från Älvkarleby kraftverk,,,,,50,,,3,103,52,43,28,123,750,133 484,,
32,Vendels el. distr .- fören. ...,,,:unselected:,,:unselected:,,50,20000/1500/220,120,50,162,275,123,15,413,3 037,97 316,,32
33,Gimo-Österby Bruks A .- B.,Skeftham-,Gimo,,-,,,50,500,-,-,-,,.,,.,-,,,
,,mar,,,,,,,,,,,,,,,,,,
34,Ramhälls gruvor.,Alunda,Ab. från Älvkarleby kraftverk,-,-,,»,50,20000/ ·,350,,-,95,,-,95,,128 253,,34
35,Alunda norra el. distr .- fören.,,,,-,,,50,20000/3000/220,100,48,212,145,74,19,238,2 140,65 557,,35
36 37,Ekeby el. distr .- fören. Väskinge A .- B. ...,Ekeby,Väskinge ..,- v,,10,,50 50,20000/3000/220 110,100,61,324,274,94,29,397 .,2 283,68 161,,36 37
38,Alunda södra och Tuna el. distr .- fören.,"Alunda, Tuna",Ab. från Alvkarleby kraftverk,,,-,,50,20000/3000/220,130,49,317,170,78,13,261,2 226,87 384,,38
39,Olands-Stavby el. distr .- fören.,Stavby,,,-,-,,50,20000/1500/220,90,22,117,215,62,6,283,1 606,77 652,,39
40,Skeberga ångkvarns bolag,,Skeberga,,,35,,50,1500/190,,.,.,.,.,.,.,.,.,,40
41 42,Älvkarleby kraftverk Sekundärstationen i Upp- sala Uppsala stads el. verk,Uppsala,(Uppsala dieselcentral Ab. från Älvkarleby kraftverk,--- d s,- - -,"-
8811","-
L 3-fas",50 50,70000/20000/6000 och 1500 600 och 2×220 6000/500 och 220,- -,- 47,- 5 780,- 6 400,"- 3 024
:unselected:",- 1 213,- 10647,- -,- 9 281 406,,41 42
43,"Gamla Uppsala el. distr .-
fören.","Gamla Upp-
sala",,,,,,50,20000/1500/220,120,72,342,805,149,44,998,3 500,184 832,,43
44,Börje el. distr .- fören ..,Börje,»,,,=,=,50,1500/220,,31,116,260,60,6,326,2 123,93 720,,44
45,Åkerby-Bälinge .el. distr .- fören.,"Åkerby, Bälinge",,,,,,50,20000/3000/220,100,72,360,410,113,6,529,3 553,98 065,,45
46,Björklinge el. distr .- fören.,"Björklinge, Skultuna",,-,-,-,,50,20000/3000/220,100,63,429,300,106,12,418,3 256,91 408,,46
47,"Ullbolsta såg, Krantz A .- B.",Jumkil,Ullbolsta såg,v,,.,,-,220,-,-,-,.,,.,,-,,,47
48,Lena el. distr .- fören. A .- B. Salsta gruvor Soderfors Bruks A. B. 1,"Lena, Tensta",Ab. från Älvkarleby kraftverk,,-,-,3-fas,50,20000/1500/220,150,8,43,33,6,1,40,389,19 072,,48
,"1
(Brunna gruvor) m. fl.",,,,,,,,,,4,30,44,4,,48,,115 411,,
49,Vattholma bruk,Lena,[ Vattholm Ab. från Älvkarleby kraftverk,V,,.,,50,20000/3000/500/220,-,1,25,41,,-,62,,23 696,,49
50,/Viksta el. distr .- fören. Viksta kvarn och såg,Viksta,A,,-,,,50,20000/3000/220,120,43 1,293 2,170 3,63 1,12 2,245 40,2 149 -,59 198 68 650,,150
51,Vaksala el. distr .- fören.,Vaksala,,-,-,,,50,20000/3000/220,120,63,414,265,71,-,336,2 676,115 493,,
52,Fundbo el. distr .- fören. ...,Fundbo,,,,,,50,20000/3000/220,100,39,278,200,.66,11,277,1 551,94 704,,
53,Rasbo el. distr .- fören.,"D
Rasbo",,-,,,,50,20000/3000/220,120,42,139,310,71,7,388,3 211,149 117,,
54,Rasbokils el. distr .- fören. .. (Bondkyrko södra el. distr .- ) fören.,Rasbokil,»,-,,,,50,20000/1500/220,60,17,53,55,23,,80,860,38 513,,
55,"Nontuna el. distr .- fören. jUltuna lantbruksinstitut,",Bondkyrka,,-,-,-,,50,20000/3000/220,300,25 5,122 64,60 29,,6 -,,1 494,53 508 10 290,,55
,"F. Gustafsson (Säby såg
och kvarn), Bergsbrunna tegelbruk m. fl.",,,,,,,,,,5,110,320,,55,,,296 184,,
