Nr,"Företagets namn, ägare eller innehavare",Kommun,Kraftstationens namn eller läge,Driv- kraft,Utbyggd fallhöjd,Installe- rad ge- nerator- effekt,Pe- Strönod- art tal,Spänningssystem,Huvud- trans- forma- torns effekt,Ortstransfor- matorernas,,Anslutning år 1922,,,,Elektri- fierad åker- areal,Energi- förbruk- ning år 1922,Anmärk- ningar,Nr
,,,,,,,,,,antal,sam- man- lagda effekt,mo- torer,belys- ning,övriga appa- rater,sum- ma,,,,
,,,,,m,kVA,,volt,kVA,st.,kVA,kW,kW,kW,kW,hektar,kWh,,
1,2,3,4,,6,7,9 8,10,11,12,13,14,15,16,17,18,19,20,1
1,Stockholms stads el .- verk,Söderfors,Untra.,V,12.4,30 000,3-fa.25,100000,,,,,,-,,-,,,1
2,Alvkarleby kraftverk.,Alvkarleby,Alvkarleby,,16.7-17.9,50 000,,70000/20000/3000,,:unselected:,:unselected:,:unselected:,:unselected:,:unselected:,:unselected:,,:unselected:,,2
,"Östanå El. A .- B., Västanå,",,,,,,,,,,,,,,,,,,
3,"Södra el. distr .- fören., » Norra el. distr .- foren. och",,Ab. från Älvkarleby kraftverk,-,"-
:unselected:","-
:unselected:",50,3000/220,-,.,.,19,53,6,78,53,36 902,,3
4,Alvkarleo el. distr .- fören. Gårdskars El. A .- B.,,,-,-,-,50,3000/220,-,3,20,6,17,-,23,100,8 346,,4
5,JOverboda el. distr .- fören. o. Bodarnas bel .- fören. 1,,,,,-,50,3000/220,,2 1,6 25,2 26,4 50,,6 76,200,2 988 29 114,,5
6,"Söderfors Bruks A .- B., Skut- skär 1",,,-,"-
:unselected:",-,50,20000/190,.,7,6 200,4 580,182,1 621,6 383,-,-,,6
7,Vesslands el. and .- fören.,Vessland,,,-,-,"50
=",20000/3000/220,90,20,141,300,104,13,417,2 730,97 980,,7
8,Karlholms bruk,,Carlholms kraftstation,,,,1,220,-,,-,,,,,,.,,8
9 10,Oster-Lövsta El. A .- B. .1 -,Östra Lövsta,Ab. från Älvkarleby kraftverk,-,"-
:unselected:",-,3-fas 50,20000/3000/220,150 100,1 32,355,435,169,4,608,2 616,113 170,,1 9 110
11,Lanforsens kraftverks bygg- nad,Älvkarleby,,"-
:unselected:",:unselected:,-,50,20000/ .,400,-,-,144,14,33,191,-,133 086,,11
12,A .- B. Marma el .- verk,,,"-
:unselected:",,,50,20000/1500/220,60,4,58,27,22,3,52,300,26 614,,12
13,A .- B. Mehede el .- verk,Tierp,,:unselected:,"-
:unselected:",:unselected:,50,20000/1500/220,90,10,78,39,22,1,62,120,28 721,,13
14,Söderfors Bruks A .- B.,Söderfors,fSöderfors,v,4.5,,50 »,20000/ .,.,13,9 685,2 600,295,5 673,8 568,-,25 522 239,,14
15,Distributionen i Långvik.,,| Ab. från Älvkarleby kraftverk » » Söderfors bruk,"-
:unselected:",-,"112011
:unselected:",50,20000/ ·,.,-,-,.,.,.,.,235,.,,15
16,i Untra,,,,,,50,20000/3000/ .,,.,.,,,.,,,.,,
17,Ängsbolagets el. distr .- fören.,"Söderfors, Tierp",Älvkarleby kraftverk,:unselected:,"-
:unselected:",:unselected:,50,20000/3000/220,65,8,50,81,16,,97,280,29 413,,
18,A .- B. Tierps el .- verk,Tierp,2,,,-,50,20000/3000/220,,2,500,730,86,54,870,,372 470,,/18
19,,,,,:unselected:,:unselected:,50,20000/3000/220,,,,,,,,,,,119
,Tolfta El. A .- B.,Tolfta,Tierps el .- verk .,,-,,50,20000/1500/220,120,34,,,,,,3 330,,,
20,Tierps el. distr .- fören.,Tierp,Älvkarleby kraftverk,"-
:unselected:",:unselected:,:unselected:,,,,,201,450,86,9,545,,140 843,,20
21,Strömsbergs bruk,,Husby,V,.,"75
:unselected:",50,1500/220,-,,,.,,.,,,,,21
,Tierps södra el. distr .- fören.,,Ab. från Alvkarleby kraftverk,,-,,50,20000/3000/220,100,29,95,113,36,4,153,1 620,58 166,,22
,Älvkarleby kraftverk.,Dannemora,,:unselected:,:unselected:,"-
:unselected:",50,70000/20000/3000,-,-,-,-,-,-,-,,-,,23
,Sekundärstationen i Dan- nemora,,,,,,,,,,,,,,,,,,
,,,,,,:unselected:,50,3000/220,,13,77,45,21,,,532,28 620,,
,Films el. distr .- fören.,Film,Ab. från Älvkarleby kraftverk,,,,50,,,,,,,,,,,,
,Dannemora sockens el. distr .- fören.,Dannemora,,"=
:unselected:","=
:unselected:","=
:unselected:",,3000/220,,14,45,31,22,2,,684,20 478,,
