1,2,,4,5,6,7,8,9,10,11,12,19,14,15,16,1,18,19,20,1
56,Dalby el. distr .- fören.,"Dalby, Upp- sala-Näs",Ab. från Älvkarleby kraftverk,-,-,"-
:unselected:",3-fas,150,20000/3000/220,100,45,368,270,54,20,344,2 145,83 857,,56
57,Balingsta el. distr .- fören ...,"Balingsta, V. Aker",,-,-,-,2,50,20000/3000/220,100,35,320,315,47,7,369,1 658,85 728,,57
58,Häggeby el. distr .- fören. ...,"Häggeby, Skokloster",,-,"-
:unselected:",,,50,20000/1500/220,130,21,73,270,55,-,325,1 639,78 390,,58
59,Håtuna el. distr .- fören.,"Håtuna, Hå- bo-Tibble",,-,-,,,50,20000/1500/220,90,35,150,360,56,53,469,2 327,120 135,,59
60,Västra Ryds el. distr .- fören.,V. Ryd,,-,-,-,,50,20000/3000/220,100,21,191,140,27,5,172,950,51 794,,60
61,"Stockholms-Näs el. distr .-
fören.","Stockholms-
Näs",,-,-,-,,50,20000/3000/220,100,20,146,135,38,27,200,1 032,103 391,,61
62 63,Lossa el. distr .- fören. Sunnerdals hemskolor,"Lossa, Bro Lossa",Säbyholm ..,,-,-,I,50,20000/3000/220 2 × 110,3,43 --,425 -,280,92,21,393,1 689,158 766,,62 63
64 65,"Kalmar el. distr .- fören Älvkarleby kraftverk, Sekundärstationen i En- köping",Kalmar Enköping,Ab. från Älvkarleby kraftverk,,,=,3-fas,50 50,20000/3000/220 70000/20000/3000,60 -,27 -,227 -,150 -,29 -,9,188 -,779 -,51 990,,64 65
,"Enköpings stads el. verk, 1",,,,,,,,,,43,1 190,975,522,374,1 871,-,(1 151 698,,
66,"Vappa el. distr .- foren.,","Enköping,",Ab. från Älvkarleby kraftverk,-,-,,,50,3000/210,-,5,13,33,4,-,37,1 399,11 497,,66
,(Tillinge el. distr .- fören.m.fl.),Tillinge,,,,,,,,,7,26,41,9,1,51,,15 101,,
67,Åkerby-Skälby el. distr .- fören.,Vårfrukyrka,Enköpings el .- verk ..,--,-,,,50,3000/220,-,-,-,,,,-,,,,67
68,Sparrsätra el. distr .- fören.,Sparrsätra,2 Älvkarleby kraftverk,,,,,50,20000/1500/220,120,51,144,305,,15,400,3 545,132 070,,68
69,Härnevi el. distr .- fören. ...,"Långtora, Biskops-",= Se även nr 82 i Västman-,,,,,50,20000/3000/220,150,68,555,385,,4,445,3 810,149 415,,69
70,JA .- B. Grillby el .- verk och) Grillby el. distr .- fören.,"kulla
Villberga","lands län
Ab. från Älvkarleby kraftverk",-,-,-,,50,20000/1500/220,120,4 23,100 55,113 150,53 33,44 -,210 183,- 1 691,67 656 42 524,,70
71,Litslena el. distr .- fören. ...,"Härkeberga, Litslena, Fröslunda",,-,-,-,,50,20000/3000/220,130,61,474,265,61,-,326,3 500,110 630,,71
72,Örsundsbro el. distr .- fören.,"Giresta, Gry- ta, Fittja, Fröslunda",»,-,-,-,,50,20000/3000/220,130,60,575,355,56,,411,2 706,115 328,,72
73,Husby-Sjutolfts el. distr .- fören.,"Husby-Sju- tolft, Hjälsta",,-,-,-,=,50,20000/3000/220,150,39,265,193,36,-,229,2 033,84 021,,73
74,Grans el. distr .- fören.,"Öv. Gran, Ytt. Gran",,-,-,-,,50,20000/3000/220,200,44,469,295,58,11,364,2 250,117 298,,74
75,Backa och Eskilla kvarnar,Ytt. Gran,,-,-,-,,150,20000/3000/220,-,2,4,64,1,1,66,-,49 776,,75
76,Vallby el. distr .- fören.,"Vallby, Lill- kyrka",»,-,-,-,,50,20000/1500/220,130,36,134,485,69,17,571,3 206,113 127,,76
77,Löts el. distr .- fören.,"Löt, Hacksta",,,,,,50,20000/3000/220,100,64,558,345,,6,414,3 026,109 697,,77
78,Veckholms el. distr .- fören.,"Veckholm, Torsvi, Kungs-Hus- by",=,,,,,50,20000/3000/220,200,59,570,365,,20,443,2 897,120 896,,78
79,Boglösa el. distr .- fören.,"Svinnegarn, Vårfrukyrka",,- -,-,-,,50,20000/3000/220,200,19,105,84,23,8,115,895,33 812,,79
80,Enköpings-Näs el. distr .- fören.,"Enköpings- Näs,Svinne- garn",»,-,-,-,,50,20000/1500/220,90,17,41,162,21,-,183,1 680,62 023,,80
81,Teda el. distr .- fören.,Teda,Se nr 78 i Västmanlands län,-,|,-,2,50,20000/3000 och 1500/220,200,41,126,280,58,23,361,3 203,134 863,,81
,,,,,,,,,,,,,,,,,,,,
82,Strömsbergs el. distr .- fören.,Bred,Se nr 47 i,,1|,=,-,,,,,,,,-,,,,,82
83,Kulla el. distr .- fören.,"Kulla, Halm",Ab. från Älvkarleby kraftverk,,,,3-fas,60,20000/3000/220,.,.,.,.,.,.,,,,,83
