1,2,en,1,5,6,7,8,9,10,
175,Häradsbygdens El. Bel .- För ...,Leksand,Ab.fr. St. Kop. B. A .- B.,-,-,600,-,-,-,-
176,Norra Leksands El. Distr .- För.,,Ab. fr. Skebergs Kraft- verk,,-,u 1 100,-,,,
177 178,Brossens El. And .- För.,Leksand o. Rättvik,Rättsjöfors Brossfors,1921/1 1919,-,1 630,I v,14.5 7.5,"200
50","1
-"
179 180,Nedan-Siljans Bel. A .- B. Mindre distr .- företag,Leksand,Skeberg Leksand stn.,1922 -,,,,"2's
-","c:a 300
-",-
·181,Siljansnäs El. Bel .- För.,Siljansnäs,Siljansnäs,1919,u 300,,,-,40,
182,Mindre distr .- företag,,Lima,,,,,,25,
183,Insjöns El. Bel .- För.,,Ab.fr. St. Kop. B. A .- B.,1920,,700,,,-,
184,Kilens Elektr .- För.,,2,,,125,-,,,
185,Falu Yllefabriks A .- B,,Gopa,1916,,,,9'5,220,
186,,,Solarvskvarn,1909,,-,,7,75,-
187,»,,Ålbyggekvarn,1912,,,,7,110,
188,Sågmyra El. Bel .- För.,,Sågmyra,1920,,u 100,,-,-,
189,Munktells Pappersf. A .- B.,Bjursås,Lustebo,1921,,-,,15,200,
190,Bjursås Bel .- För.,,Fjällgryksbo,1919,,u 1 000,,10,100,
191,Västerdalälvens Kraft A .- B.,Gagnef,Mockfjärd,1911,,-,,122.3-1 1 23.5 1,14 000,-
192,Mockfjärds El. Distr -För.,,Ab.fr. St. Kop. B. A .- B.,1919,,230,-,--,-,
193,För. »Elektra» i Mockfjärd,,,1921,,224,-,,-,
194,Transf .- stat. vid Gråda,,St. Kop. Bergsl. A .- B.,-,,-,,,-,500
195,Västerfors El. Distr .- För.,,Ab.fr. St. Kop. B. A .- B.,1918,,65,-,-,-,-
196,Grävs El. Distr .- För.,,,1918,,40,-,,-,-
197,Gagnefs El. Bel .- För.,,,,:unselected:,1 100,,,,
198,"Nordåkers, Gagnefbyns 0. Nordbäcks El. För.",,,,-,-,-,,-,-
199,Bel .- För. »Framtiden»,,,,u,100,,,,
200,V. Gagnefs Kraft- o. Bel .- För.,,Västra Gagnef,,-,195,v,,25,
201,Ickåns Elektr. And .- För.,Rättvik o. delvis Mora,Ickå,1919,-,u 200,,9,85,-
202,Nya Ickå Tullkvarns A .- B.,Rättvik,Nya Ickå,1915 -- 19,,900,2,-,85,-
203 204,Ovanmyra Elektr. A .- B.,Rättvik o. Boda,Vinteråkvarn Nedre Vinteråkvarn,1920,"-
:unselected:",- u 400,»,4'8,"117
80",-
205,Gärdsjö Bel .- För.,Rättvik,Ab. fr. Ovanmyra El. A .- B.,:unselected:,u 200,-,,-,,
206,Hedslunds El. And .- För.,,,1920,20,,,-,-,-
207,Östbjörka Kvarnäg. För.,,Östbjörka,1921,-,,v,20,110,
208,El. Distr .- För.,,Ab. fr. 207,,,u 125,-,,-,
209a,Västbergs Bel .- För.,,,,u,25,,,,
209b,Draggådalens El. A .- B.,,Draggån,,,-,v,,125,
210a,Rättviks El. För.,,Rättviks Angsåg A. B.,,,u 50,,,,
210b,Mindre distr .- företag,,Enskvarn,,,,,-,-,
211,Tina El. För.,,,1921,u 25,-,-,,-,-
212,Nittsjö Kvarn o. El. För.,,Nittsjö,,u 100,,V,-,,
1213,Lejonbackens El. För.,,,-,150,,,,-,
214,Bingsjö Bel .- För.,Rättvik o. Enviken,Bingsjö,,u 75,-,v,-,25,
