1,2,3,,5,6,,8,9,10,1.
68,Transf .- stat. i Domnarvets kraft- station,St. Tuna,St. Kop. Bergsl. A .- B,-,,-,-,,,-
69 70,Dalsjö-Storstens Bel .- För. Ornäs El. Distr .- För.,,Ab.fr. St. Kop. B. A .- B.,1917,- 45,278 -,,"-
-",-,
71,Div. mindre distr .- företag,"Aspeboda, Torsång o. St. Tuna",,,,--,-,-,-,-
72,Repbäcken o. Båtsta El. Distr .- För.,St. Tuna,,1917,-,58,-,-,,
73 74,Elektr. Distr .- För. »Lyskraft» .. Div. mindre distr .- företag,,=,1917 -,,30 -,,,,
75,Norra Arnsbergs E. D .- F.,,,1918,,162,,-,,
76,Södra Arnsbergs E. D .- F.,,2,1918,u,50,,-,,
77,Div. mindre distr .- företag ...,,»,-,-,-,,,,
78a,Vatthammars El. A .- B.,,Forsbacka,19141,,2 500,V,3.6-4'8,100,
78b,,A,Vatthammar,1919,"-
/",,,6.8,120,
80,A .- B. Vatthammars kvarn Sellnäs transf. stat.,,Ab. fr. Alvkarleby Kraftverk,-,-,,,-,100,
81,Idkerbergets transf .- stat.,,Västerdalälvens Kraft A .- B.,-,-,,-,-,,-
82a,Gruvaktiebol. Dalarna,,Långsjön,1902,,-,V,8.3-9'3,110,
82b,,,Rämshyttan,1905,,,,7.5-9'1,188,
83,Rämshyttans Kraft A .- B.,,,-,,,,--,25,
84,"J. Hultberg, Sällnäs ...",,Tägt,--,,,,-,40,
85,Gallsbo Kvarnbolag,2,Gallsbo,,,-,,,20,
86 87,Mindre distr .- företag,,Alderbäck Ransgårdarna,,,,,- -,- -,
88 89,Gimmåns Kraft A .- B. Silvbergs transf .- stat.,St. Tuna o. Gagnef Silvberg,Duvnäs Ab. fr. Älvkarleby Kraftverk,1919 -,,1 610 -,-,50 -,250 -,-
90,Ulvshytte Järnverks A .- B.,,Dormsveden,1913,,-,,14.8,490,
91,,,Stora Bråfallet,1918,,-,,15,350,
92a,...,,Ulvshyttan,,,,,7,53,
92b,,,Grängshammar,,,,»,5,20,
93,Mindre distr .- företag,,Narbohyttan,,,,,,-,
94,Skenshytte Kraftst .- För.,,Skenshyttan,,,,,-,-,
95,Solvarbo transf .- stat.,Gustav,Ab. fr. Älvkarleby Kraftverk,,,,,,,100
,Gustavs El. Distr .- För.,,Ab. fr. St. Kop. B. A .- B.,1918,,1 570,,,,100
,Solvarbo El. Kraft A .- B.,,Sigfridhyttan,1911,,u 700,V,12,130,-
98,Säters El. Distr .- För.,Säters Ik.,Ab. fr. Alvkarleby,-,,725,,-,,200
,,,Kraitverk,,,,,,,
99,Säters Väveris transf .- stat.,,,,,,,,-,175
100,Mindre distr .- företag,,Dalsbyn,,-,,V,,,-
101,A,,Dalkarlsnäs,,-,-,,,-,-
102,Transf .- stat. vid Säter,Säter,St. Kop. Bergsl. A .- B.,,,,-,-,,5
103,Tomtebo El. Distr .- För.,St. Skedvi,Ab.fr. St. Kop. B. A .- B.,1918,,1.020,-,,,100
