12,13,14,15,16,17,18,19,20,21,,23,24,1
17,200,3 -f,50,6000/380,10,62,100,162,-,,-,,175
22,140,,50,20000/6000/380,10,50,70,120,-,-,272 000,,176
22,220,,50,/10000/380 resp. 220,10,75,90,165,,200 000,195 000 600 000,,177 178
,,,50,20000/380,-,,,,,,,,179
-,,,-,,,,"-
:unselected:",:unselected:,,,,,180
7,62,3-f,50,6000/380,-,,24,24,-,16 590,120 000,,181
,-,L,-,220,,,-,-,,-,-,,182
8,137,3-f,50,6000/380,18,70,30,109,75,--,,,183
1,10,2,50,6000/380 | 6000/380,2,10,9.5,19.5,10,,-,,184 185
12,294,2,50,1000/220 1000/110,-,125,30,155,-,-,,18) Därav värmeapparater 50 kW.,186 18
,,L,,2 × 220,1,5,7,12,,,20 000,,188
-,,3-f,,3000,,,,,,470 000,,22) Energien överföres till,189
23,215,»,50,10000/380,,192,135,327,,--,480 000,Grycksbo.,190
-,,1,"50 0.
60",50000 o. 6000,-,-,,12 000,-,55 800 000,-,22) År 1916.,191
4,30,,50,6000/380,3,16,13,29,-,,30 000,,192
4,70,,50,6000/380,5,57,12,69,75,,-,,193
-,-,,50,50000/6000/500,,,,-,,,,,194
1,10,,50,6000/380,1,7.6,6.4,14,10,,11 300,,195
15,10,,50,6000 380,1,,4.4,15.2,-,,20 000,,196
,70,,50,6000/380,10,-,19.6,-,50,,60 000,,197
7,110,2,50,6000/380,13,78,27,105,,,88 000,,198
,,,50,6000/380,,,,,,,,,199
7,52-5,,50,6000/380,1,,10,,,,:unselected:,,200
4,85,,50,8000/220,6,36,40,96,-,14 500,205 000,,201
2,137.5,,50,8000/220,12,62,90,182,-,-,80 000,,202
19,200,,50,6000/380,-,60,110,170,-,-,240 000,/,203 1/204
3,30,,50,6000/380,2,1.5,24,25-5,-,,,,205
1,10,2,50,6000/220,-,-,1.2,1.2,-,,3 400,,206
-,-,,50,6000/220,-,,-,-,,,1,,J207
3,30,,50,6000/220,2,13,14,27,,,40 000,,1/208
1,,,50,6000/220,-,-,-,,,,-,,209a
-,,»,50,10000/220,,,,,,,,,209b
,,,-,2 × 220,,15,40,55,,,-,,210a
,,,,,-,-,-,,--,,-,,210b
,-,,,-,,-,2,2,,-,3 200,,211
,,,,2 × 220,,,8,8,,,,,212
,,,,,,,,-,,,-,,21
2,15,3 -- f,50,5000/380,,,,10,,,,,214
