1,2,,,5,6,7,8,9,10,11
31,Borgärdets Bel .- För.,Svärdsjö,Ab. fr. Munktells Pappersfabr. A .- B.,-,,u 200,-,-,,
32,Tofta-Bengtshedens Bel .- För ...,,Lingheds västra,1919,-,u 1500,V,2.5,120,
33,Hillersboda Bel .- För.,,"Ab. fr. Falu El. Bel.
A .- B.",1918,150,-,--,,-,-
34 35,Mindre distr .- företag Lingheds El. Bel .- För.,,Ab. fr. Falu El. Bel. A .- B Egen kraftstation,- 1918,- u 100,-,V,,- -,- -
36 37,"Isala, Böle o. Östansjö E. B .- F. Österkvarns Kvarn-, Såg- o. Bel .- För.",,,- 1920,-,u 200 100,,- 17,- c:a 75,- -
38a,St. Kopparb. Bergsl. A .- B.,,Svartnäs,1917,,37,,10,200,
38b,,,Ovre Svartnäs,"1900, 1912",,,,6,250,
39,Mindre distr .- företag,,Ab. fr. Ovansjö Bel. och Kvarn A .- B i. Gvlbg,-,-,-,,-,-,
40,Lumshedens Kraft- o. Bel .- F ..,,Egen kraftst.,-,-,u 70,,-,7,-
41,Ytter Tängers Bel .- För.,Enviken,2,-,u 700,-,,-,38,
42,Rönndalens El. För.,,2,1913,u 50,,,,,
43,Envikens El. Bel .- För.,,,,-,u 100,,,,
44,Björkboda-Marnäs Bel .- För. ...,,,,u,100,,,,
45,Lamborns Bel .- For.,,,,u,100,-,,,
46,Falu El. Bel. A .- B.,Sundborn,Sundborn,1902,,=,v,7.5,1 540,
47,Kårtägts Bel .- För.,,Ab. fr. Falu El. B. A .- B.,1918,,u 100,,,,
48,Risets El. Bel .- För.,,,1919,50|,-,,,,
49,Lilltägt o. Karlborns Bel .- För.,,2,1920,u,150,,,,
50,Blixbo Bel .- För.,,,1916,-,u 200,,,,
51,Karlsbyhedens Bel .- För.,,,1918,,300,-,,-,
52,Div. distr .- företag,,=,,,,,,,
53,Boda Bel .- För. .,,Egen kraftst.,,100,,V,,,
54,Stensarvets Bel .- För.,Vika,Ab. fr. Falu El. B. A .- B.,1919,100,,,,,
55,Kniva El. Distr .- För.,,,,-,300,,,,
56,Div. distr .- företag,,,-,-,,,,-,
57,Kopparb. o. Hofors Sågv. A .- B.,,Holms kvarn,,,-,v,,35,
58a,Mindre distr .- företag,=,Lunån,,,,,,10,
58b,2,,Staberg,,,,,,,
59 60,Vika El. Distr .- För. Torsångs El. Distr .- För. .,"Vika, mindre
del inom Torsång Torsång",Ab.fr. St. Kop. B. A .- B.,,,u 1300 450,- -,-,-,100 75
61 62,Kyna-Tomnas El. Distr .- För. Hinsnorets,,,1917,- 110,70 -,-,,-,
63,St. Kopparb. Bergsl. A .- B.,St. Tuna,Bullerforsen,1913,,,V,10.7-12,23 700,
64,,,Kvarnsveden,1914,,,,12-13,8 000,
65,,,Domnarvet,1911,,,,6-6.5,200,
66,,,Forshuvudforsen,1921,-,-,,10-10.6,15000,-
67,Transf .- stat. i Domnarvets kraft- station,,St. Kop. Bergsl. A .- B.,-,-,-,-,- -,--,12 000
