1,,3,4,5,6,7,8,9,10,11
104 105,Arkhytte El. Kraft A .- B. Dala-Husby El. Distr .- För.,St. Skedvi delvis inom Husby Husby,Arkhyttan Ab. fr. Älvkarleby Kraftverk,1919 -,C:a 1,500 3 725,V -,22 -,220 01 -,90
106 107,Transf .- stat. v. Stjärnsund » » Långshyttan ...,,,,-,-,-,-,-,2 st. å 1 000
108,Klosters A .- B.,,Långshyttan,1916,,,V,14-15,420,-
109,""" ....",,Rörshyttan,1906,,,,5,80,--
110,"Rörshyttan, Kallbäck, Öster- byns o. Västerbyns E. D .- F.",,Ab. fr. Klosters A .- B.,-,,u 320,,-,-,-
111,Klosters A .- B.,,Kloster,1905,,-,v,1.6-2,15,
112,Hummelbo El. Distr .- För.,Husby o. Garpenberg,Hummelbo,-,,50,,-,22.5,
113 114,Mindre distr .- företag,Husby,Mölnarbo Horndals Järnv. A .- B.,,,,-,-,- -,
115,Sekundärstation .,Hedemora,Älvkarleby Kraftverk,,,,,-,,6 000
116,Hedemora Stads El .- verk,,Ab. fr. Älvkarleby Kraftverk,1902,c:a,500,-,,,2 st. 600
117,Transf .- stat. v. maskinverkstad.,,Ab. fr. Hedemora stads El .- verk,-,-,-,,,,
118,» » Vikmanshyttan,landsk.,Ab. fr. Alvkarleby Kraftverk,-,-,-,-,-,-,2 st. 2 000
119 120,Hedemora-Grytnas E. D .- F. ... Larsbo-Norns A .- B.,Hedemoralk o. Grytnäs Hedemoralk,Håsjö,- 1907,- -,2 714 -,V,-,- 55,150
121,,,Norn,1915,,-,,15,275,
122,,,Turbo,1916,,,,18,450,
123,Ingvallsbenning-Hedemora E D .- F.,,Ab. fr. Larsbo-Norns A .- B.,-,-,u 1 000,-,,-,-
124,Kvarnbackens Kraft A .- B,,Kvarnbacken,1920,,-,,7.2,50,
125a 125b,Davidshytte-Nås El. D .- F. Olshytte ångsåg,,Ab. fr. Kvarnbackens Kraft A .- B. Borsbo,-,-,850 -,v,-,- 10,-
126,Norrhytte El. And .- För.,,Norrhyttan,,,u 150,,,,
127,Mindre distr .- företag,,Nås,,,-,,,,
128,Transf .- stat. v. Intrånget,Garpenberg,Ab. fr. Älvkarleby Kraftverk,,,,,,,
129,Jelken,,» »,,,,-,,-,
130,Holmgruvan,,,,-,,,,,250
131,» » Gruvgården,,Ansl. t. Älvkarleby K. V. o. Horndals Järnv .- A .- B.,,,,,,-,2 st. å tills. 650
132,Kungl. Domänstyrelsen,,Brattfors,,,,V,,52.5,
133,Garpenbergs El .- verk,,Ab. fr. nr 132,,,,-,,,
134,Dala-Finnshyttans E. D .- F.,,> > 132,,,u 75,,,,
1135a,Mindre distr .- företag,,Vikhyttan,,,,V,,,
135b,,,Borsbo,,,,,,10,-
136,Transf .- stat. v. Grytnäs,Grytnäs,Älvkarleby Kraftverk,-,-,,,-,-,150
