12,13,14,15,16,17,18,19,20,21,22,23,24,1
-,-,3-f,50,50000/20000,-,,-,,-,-,,,68
1,10,,60,7000/380,3,11,7,18,10,-,,,69
1,15,»,60,7000/380,1,1,10,11,15,,-,,70
12,-,,60,7000/,-,-,-,-,-,-,,,71
2,50,,60,7000/380,,62,63,125,55,-,20 000,,
1,5,,60,7000/380,,6.5,2.5,9,5,,1 500,,
8,-,,60,7000/,-,,-,,-,,-,,
1,10,,60,7000/380,3,9,8,17,10,,28 000,,75
1,10,,60,7000/380,4,12,6,18,10,,,,76
5,-,,60,7000/190,-,-,-,-,,,,,
9,325,,50,6000/380,-,160,290,370,-,260 000,350 000,,78b
,-,,50,5000/190,,,-,,,,-,,79
,,,50,20000/,,,-,,,,,Driften nedlagd.,80
,-,,60,20000/,--,-,,-,-,-,-,,81
,- -,,50,6000/380,-,800,40,2 000,,125 000 1 122 800,,22) År 1916.,82a 82b
-,,,50,6000/220,,,-,,-,,,,83
,,,50,6000/,,4,66,70,,,,,84
,-,,50,6000/,-,,-,-,,,,,85
-,,L,-,,-,,-,,-,,-,,86
,,»,,,,,,-,--,,,,87
29,340,3-f,50,10000/380,-,9,100,190,,137 000,490 000,,88
-,,,50,20000/,-,-,-,-,-,,-,,89
,,,,,,,,,,,,,90
7,475,,50,3000/380,-,400,18,420,-,-,197 000,8) o. 10). Ånga 800 hkr. i reserv.,91
--,-,,,500,-,-,,,,,,,92a
,,,,,,,,,-,,,,92b
-,,,,,,,,,,,-,,93
,,,-,,,-,-,-,-,,,,94
11,345,3-f,50,20000/10000,-,169,50,219,65,,,,95
14,135,,50,20000/3000/380,27,110,71,107,75,,,,96
,,,50,10000/380,,20,54,74,-,,,,97
10,78,,50,20000/3000/380,22,113.5,40,153-5,40,,140 000,,98
,,,50,20000/220,,175,23,196,125,,,,99
,,I,-,,,-,-,,,-,,,100
,,»,,,,-,-,-,-,-,,,101
-,,3-f,50,20000/1500/220,-,100,2,102,,-,,Avser kalkbrottet.,102
10,115 -,"İ x
1",50,20000/6000/380,18,88,40,126,60,,,,103
