12,13,14,15,16,17,18,19,20,,22,23,24,1
30,375,3-f,50,10000/500/120,75,450,110,560,-,-,-,,104
19,207.5,,50,20000/3000/380,-,411,93,504,100,-,239 000,,105
-,-,,50,40000/500,-,2 510,160,2 670,1 344 400,-,-,,106 107
,720 {,,50,3000/,,-,-,200,-,-,,,108
9,,,50,3000/380,,15,30,60,,,,,109
6,40,,50,3000/220,8,37,14,81,-,-,-,,110
-,-,,50,,,,-,,,,-,,111
7,55,,50,3000/380,8,39,7,46,,,35 000,Ångreserv.,112
-,-,L,,,-,,,,-,,1,,113
,,3-f,50,20000/,,,,,,,|,,14
-,,,50,40000/20000,,,,,,,,,
15,520,,50,20000/3000/190,-,766,317,1 083,300,-,-,,116
-,,,50,20000/,-,--,-,-,,-,-,,117
-,--,,50,20000/3000 och 380,-,2 900,126,3 086,300,-,-,,118
32,205,,50,40000/3000/380,61,313,72,385,100,-,267 000,,119
,,,,,,,,,,1 38 000,-,,120
-,-,,50,10000/380,-,900,60,2 000,-,130 000 130 000,,18) Elektr. ugn 250 kW.,121 122
22,-,,50,10000/380,-,-,60,220,50,-,,,123
-,,,50,3000/380,,-,,-,,,68 000,10) Kan utbyggas till 125 à,124
10 -,80 -,»,50 50,3000/380 3000/190,,22,12 -,34 --,-,-,-,"130 hkr. 20) Levererar
till nr 125.","125a
125b"
,,L,-,,10,37,25,62,-,,110 000,,126
,,,-,,,-,-,-,-,-,,,127
1,2.5,3-1,50,20000/380,,640,12,652,375,,-,,128
,,,50,20000/,-,,-,-,,-,,Driften nedlagd.,129
,,,50,20000/380,,215,21.8,234.5,128,,,,130
-,-,,50,20000/380,,262,9,271,325,,-,"Ansl. t. kraftledn. fr. Nas
kraftst.",131
,,,50,3000/380,,-,,--,-,,,"20) Levererar t. nris 133,",132
10,"28
124|",,50,3000/380,20,100,68,162,,,83 500,134 o. 163.,133
2,40,»,50,3000/380,,12,12,24,,,,,134
-,-,L,-,-,,-,-,-,,,,,135a
-,|,,-,220,,,,-,-,,,,135b
-,-,3-f,| 50,|40000/3000,-,-,-,-,,-,-,,136
