Nr,"Företagets namn, ägare eller inne- havare",Kommun,"Kraftstationens
namn eller läge",Drivkraft,"Utbyggd fallhöjd
m","Generatoreffekt
kVA",Strömart,Periodtal per sek.,Bpännings- system volt,Byggnadsår,"Total areal i odlad jord
har","Elektrifierad odlad
areal
har","Huvudtransformatorns storlek
KVA",Orts- transfo:,,,Anslutning,,,,,,,,,,,,,,"Maximibelastning
kW","inköpt eller produ- cerad energi
Total per år
kWh","lantgårdar vid förbruk- ningsplatsen ning i elektrifierade
Årlig energiförbruk-
kWh","hantverk vid förbruk- ning för industri och ningsplatsen
Årlig energiförbruk-
kWh","Totala anläggnings- kostnaden
kr.",Anmärkningar (Siffrorna hänvisa till kolumnerna),Nr
,,,,,,,,,,,,,,matore,,,Jordbruksabonnenter,,,,,,,Övriga abonnenter,,,,,,"Totalsumma
kW",,,,,,,
,,,,,,,,,,,,,,"Antal
st.",Summa,,rer,Sma- motorer,,apparat. Övriga,,,,,Motorer,Övriga apparat.,,,Summa k W,,,,,,,,
,,,,,,,,,,,,,,,"effekt
KV",,summa,"antal
st.","summa
kW","antal
st.","summa
kW","Belysning
kW","Summa
kw","antal
st.","summa
kW","antal
st.","summa
kW","Belysning
kW",,,,,,,,,
1,2,,4,5,6,7,8,19,10,11,12,13,14,15,1,,18,19,20,21,22,23,24,25,26,27,28,29,30,ar,32,33,34,35,36,87,1
1 2 4,Mosjö El. A .- B. Lantbrukarnas El. A. B. A .- B. Garphytte Bruk Strömsnäs Järn- verks A .- B. Orebro El. A. B. . . Transf .- stat. vid La- torp,"Mosjö Viby, Knista, Mosjó, Täby, Vintrosa, Tyss- linge, Gäller- sta, Hallsberg, Kumla, Harde- mo, Kräklinge, Hackvad, Tångeråsa, Edsberg Tysslinge, Vin- trosa Vintrosa Tysslinge",Ab. fr. Örebro El. A .- B. Ab. fr. Motala Kraftverk Garphyttan och Nyhammar Lannafors,- Y. -,- - 68 . -,- - 310 ca 60 -,3-fas,50,15000/1500/220 40000/3000/380 6000/ . 430/250 15000/.,1918-1919 190€,1.000 34 000,"700
21 131","3 om 250
7 om 1 700 - .",". 316
3",1 2,,40 065,10 54,165 18,- 102,45,721,1 996,"3
22","135
53",-,- -,4 10,139 63,2 059,68 700,88 000 839 000,547 000,22 000,2 658 000,10) För industrier är spänningssyst. 15000/380 volt 4) 2 kraftstationer finnas,1 2 3 4 5
6 7,Graveby El. Distr. För. Ekers och Längbro,"Grave, Tyss- linge, Vintrosa Eker",Ab. fr. Örebro El. A .- B. Ab. fr. Karlslund,- -,-,-,R,,15000/500/220 1500/.,,,ca 700,50,11,,,,,,,,,,,,,,,,,,,,,,,7
8,"El. För.
Örebro El. A .- B. . Transf .- stat. vid",Längbro,-,-,-,-,,,15000/ .,,,,,,,,,,,,,,,,,,,,,,,,,,,,8
,"Lindbacka
Th. Dieden","Lingbro, Ansta",Karlslund Samarbete med Örebro El. A .- B.,,10,150 480,,,"7000/30000.1500/
/380 resp. 190","1897-1902
1902-1907",1 200,1 200,,,,,85,30,35,20,100,50,270,,30€,-,-,,ca 300,570,,d 3 000 v 800 000,,,272 000,33) År 1916,9
10 11,Motala Kraftverk . Transf .- stat. vid Orebro Örebro stads El .- verk,Längbro Örebro med omgivning,- Ab. fr. Örebro El. A .- B. Örebro reservsta-,- - d.,- -,440,,-,40000/ . 40000 resp. 15000/3000/380 2×220,1886,,,5 om 2 000,40,3.61,,,,,,,,,,,,,,,8 007,,8 800 000,,,2 319 000,,10 11
12,Örebro El. A .- B. . Transf .- stat. vid,Örebro Almby,"tion
Skebäck",V.,2,77 -,3-fas,50,1100 resp. 1500 15000/ .,1895,,.,.,-,,,,,,,,,,2,57℃,,,,93.2,93.2,,160 000,.,.,229 000 .,[33) År_1916 [2) Baglampsbelysn.,12
14 15,Näsby Södra Hjälmare- strandens El. Distr A .- B. Motala Kraftverk Transf. - stat. vid Axbergshammar,"Almby, Mel- lösa, Asker Axberg",Ab. fr. Örebro El. A. B. -,- -,- -,- -,,,15000/3000/220 40000/ .,,6 000 .,"5 000
.","6 om 330
.",65 .,,,285,36,75,30 .,20,100,480,6,147,-,- .,3,150,630,193,540 000,136 000,278 000,,,14 16
6 17 18 19,Frih. G. Åkerhielm Dylta El. For. Glanshammars El. Distr. För. . Mindre distr .- före-,"A Glanshammar, Rinkaby, Lillkyrka Götlunda",Dylta kvarn . . Ab.fr.Dylta kvarn Ab. fr. Örebro El. A .- B. Sickelsjö ....,v. - V.,4 - .,50 - 14,R R L,-,10000/ . 10000/380 resp. 220 15000/3000/380 220,1919 1920 1919,950 6 000,"900 5 000
.","2 cm 300
. - -",10 31,1,,85 210,1 42 .,90 .,. 5,25,25 100,113 425,.,. - 48,-,-,. - 0%,. 48.5 .,118 4735,. 40 138 .,49 000 206 000,. . 25 kWh/har,.. 45 000,,,16 17 18 19
20,"tag
Ortsdistributionen ij Norra Lillkyrka","Götlunda, Lill- kyrka",Ab. fr. Lindes- bergs El .- verk,-,,-,3-fas,50,20000/ .,,,,.,,,,-,.,,.,,.,,,,,,,,,,,,,,,20
