1,2,,1,,6,7,8,9,30,11,12,13,14,15,16,8,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,1
165 16 167 16 169,"Högfors A .- B. .. A , Ställbergs Gruv A .- B.",Ljusnarsberg A,"Högfors Segerfors . . . . Högbergsforsen .
Hörksälv Blyhyttan",PRAAA,265 17 23.5 15 10,"84
250 510 160 140","3-fas
R",50 60,1500/ 1500/ . 1500/ . 1000/.,"1892, 1908 1898, 1906 1920 1899-1912",. . . .,. : . .,. . .,. . 4,,,,,,,,,,,,,,,107 407 .,80 240 .,272 000 525 000 .,. .,... .,... . .,33) År 1916 33) År 1916,165 166 167 169
170,R,A,Ställberg,,14.9 24,225 360,R,,1000/ .,1921,,.,,,,,,,,,,,,,,,,,,,,,.,,,170
171,Diverse distr .- anl.,,Ab. fr. Gränges- bergs Gruv A .- B.,,-,,A,,8000/ .,,,,.,.,,,,,,,,,,,,,,,,,,,,.,,171
172 173,A .- B. Hörks Masugn Joh. Carlsson,0,Hörks kvarn . Rällså damm,V.,4-4.5,15 60,L 3-fas,50,220 5000/,. .,,,-,- 3,,,,,,,,,,,,,,,,,,,,.,,172 173
174,A. - B. Sv. Metall- verken,"Ramsberg
Ljusnaraberg",Krokfors,A,8.3,109,L,-,240,"1890, 1903",,,-,-,,,,,,,,,,,,,,,,,,,,72 000,7) Dessutom loko- mobil om 150 hkr,174
175 176 177,"Moberg, Lillaing Rockhammars Tri- massefabrik Rockhammars Tri",R Fellingsbro,Björkäng Lustholmen Stensta,,5 ·,10 220 300,3-fas,50 20,2 ×220 380 3000/380,.,,,. .,-,,,,,,,,,,,,,,,,160,820 000,,,67 000 .,33) År 1916,175 176 177
178,"massefabrik
Oppboga A .- B.",,Oppboga,,5.7,410,.,,.,1911 -- 16 0.,,,,,,,,,,,,,,,,,,,,74,530 000,,,.,"32), 33) År 1916",178
179,"E. A. Andersson, Djupdalen",,,,,38,3-fas,50,3000/380,1920,,,.,7,,,,,,,,,,,,,,.,,,,,,,,179
180 181 182,Ax. W. Håkansson Frötuna A. B. Fellingsbro Östra,0 Götlunda Fellingsbro,Österhammar Frotuna Ab. fr. Lindes-,-,3 -,-,R A,R R,3000/ . 1000/380 20000/1500/220,1895-1915 .,1 325 . 1 500,980 1 372,..,1,202 6 ca 301 13,71-5 105,-,7 -,-,17.8,50 30,: 146 135,,,,-,-,.,146 135,48 ca 20,.. 70 000,. . ca 35 000,,,32) År 1916 var max .- bel. 60 kW,180 181 182
183 18,El. Kons. For. Norra Fellingsbro Distr. För. A. Almqvist,,"bergs El .- verk
Ab. fr. Lindes- bergs El .- verk Norrby gård .",- v.,-,- 20,A,,20000/220 800/110,.,1 500 130,1 250 130,,. .,ca 300 31 1 .,250 15,- -,,,,40 ca 2,290 17,6,5,-,-,ca 2+5 -,,290 24.5,ca 20 12.,"ca 70 000
.","ca 35 000
.",,,,183 184
185 186 187,Finnåkers Bruk Frövifors Bruks A. - B. Lia El. For. ..,Näsby,Finnåker Frövifors nedre fall Ab. fr. Lindes-,AR -,-,"400
-","3-fas
L",50,220 3000/220 20000/1500/380,1904-06 .,48 . 391,48 391,- . 27,- 3,1 14 1,7,-,- . -,-,1,ca 3 9.6,11 . 18℃,- .,. -,-,. -,- -,-,1 . 18℃,10 37 .,1 469 000 .,.,,,33) År 1916,185 186 187
188 189,V. Hybinette Stockholms Super- fosfatfabr. A. B. 7,Ervalla,"bergs El .- verk
Ab. fr. Lindes- bergs El .- verk Axbergshammar .",- V.,- 3-3-3,170,,,20000/3000/220 20000/1500/220,1917-18,.,1 000,,5 .,. .,. .,.,. .,. .,. .,. .,. .,. .,.,.,.,.,. .,. .,48 .,.,,,,32) Abon. effekt 4) Huvudsakligen industriell drift,188 189
