1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,1
90 91 92 93 94,"Klacka Lerbergs Gruv A .- B. Georg Johansson, Järnboas A. B. Stjärnfors- Ställdalen A .- B. Stjärnfors- Ställdalen A .- B. Stjärnfors- Ställdalen",Järnboås A Hjulsjö,"Fernhyttan . .. Vassland Bredsjö, övre o. nedre Övre Nyhammar Nedre",v. a. v.,. 34 6.5,"21
ca 4
140] 2501 54 38","3-fas
L
3-fas R",60 - 50,500 2×220 20000 2000 20000/2000,1893-1903 1906 1906,,,,,,,,,,,,,,,,,,,330,"240
45","Jv. 546 000
. . lå. 648 000 300 000",,,. .,33) År 1916 33) År 1916,90 91 92 93 1 94
95,A. B. Stjärnfors-,,Grängshyttan,,6-6'5,210,R,R,5000,,,,,,,,,,,,,,,,,,,,,80,540 000,,,,33) År 1916,95
96 97 98 99,"Ställdalen
Örebro El. A .- B. . A .- B. Jordbruks- smiden Karlsdals El. För.",Karlskoga A,Skramforsen . . Brattforsen Ab. fr. Örebro El. A .- B Ab. fr. Örebro El. A .- B.,- -,10.5-13 15.5-17 -,3 100 4 300 - -,A R,,15000 o. 6000 15000 o. 7000 7000/380 o. 220 7000/220,"1899-1900 1903, 1906",,,,,,,,,,,-,-,33,310,-,-,9,319,7 500 319,5 900 130 175,29 000 000,,,,33) År 1916 32) Abon. effekt,96 98 99
100| 101,A .- B. Bofors Nobel- krut A .- B. Bofors-Gull- spång,,Björkborn Bofors Ab. fr. Örebro El. A .- B.,V.,4-4'5 12.8-14'1 -,340 2 900 -,,,7000 15000/7000 0. 3000,1885 1916-1917,,,,,,,,,,,,,,,,,,,,. .,1 697 000,,,,(4) Ny anläggn. Er under byggn. 33) Ar 1916,100 101
0 103 104,Linnebacks El. För. Bobackens El. Distr. För Aggeruds Bel. För.,..,Ab. fr. Bofors .,-,-,- -,,,7000/380 7000/380 7000/380,. .,495 250 1025,429 185 102%,-,,,50,2 -,2 -,=,-,14 3+1 8,14%,11 -,,- -,-,-,52,66 61-e 14,24,8 060 2 000 5 670,,,.,,102| 103 104
105,Bregårdstorps Bel. För,,,-,-,,,,7000/380,,24℃,24℃,-,,,,,-,,,,-,-,,,,,,.,,2 460,,,,,105
106 107,Fisksjöns Bel. För. Skogskärrs El. Distr. För.,A,,-,-,-,R A,A,7000/380 7000/380,·,135 141.5,135 141'5,,..,,8,3 2,8| 3,,,2'9,16,,,,,,,. 16,. .,2 840 2 470,,,,,106 107
108 109,Finnebäcks Bel. För. A .- B. Högåsens torv- ströfabrik,:,,-,-,,R,,7000/380 7000/380,. .,241'5,. .,,. .,,,,,,,,-,1,30,,,18,,:,..,2 880,,,,,108 109
110,Odlingens El. Distr.,,,-,-,,,,7000/380,-,348,348,-,,,7,1,,-,,6%,14,-,-,-,-,-,-,14,.,6 135,,,,,110
111,"För.
Loviselunds El. Bel. För.",,,-,,,A,,7000/380,,-,-,-,,,-,-,-,-,-,9,-,,,,,,-,,,,,,,,111
11 113,Limas Lyse För. Västra Lövåsens Bel.,AA,,,11,-,,,3000/380 3000/380,,143 240,240,-,.,,,- 1,1,,,12%,9 205,,,,,,,20%,. .,1 790 15 300,,,,,112 119
114,"För.
Karlskoga El. För.",,,,-,,R,R,. /380,.,,,,,,,,,,,,,,,,,,,,,,,,,,114
115|,Stolpetorps El. Bel.,,,-,-,-,,,. /220,,,,,,,,,,,,,,,,,,,,,,,,,,,115
116,"For.
Strömsnäs Järnv. A. B.",,Degerfors,V.,6 -- 9,2 170,I,A -,3000/190 2×110,1899,.,,,,,,,,,,,,,,,,,,,,,,,,,116
117,Lönnhyttans El. Distr. För.,,Lönnhyttan Ab. fr. Örebro El.,,.,50,3-fas,50,6000/380,1917,1 500,1 400,-,5,1,35,-,-,,-,40,75|,1,17:5,-,-,,,92'5,40,,,,,,117
118,Stockfors Kraft,,"A .- B.
Stockforstorp",v.,,50,R,,1500/ .,,,,-,12,,,,,,,,,,,,,,,,,,,,,,118
115,"A. B. 2
Granbergs Dals A .- B.",,Högfors,,,70,A,,2000/ .,1914,,,-,2,,,,,,,,,,,,,,,,,,,,,,119
120 121 122 123,Katrinefors A .- B. Eric Ericsson . . Joh. Dalin G. E. Elfströms,,Silverhyttan Sågfallet . Utterbäck . Immetorp,,. . .,13 20 5 28,,,1000/380 2 × 220 220 2×220,.. . .,. . .,ca 30 ca 50 ca 200,-,2,,,,,,,,,,,,,,,,,,,,,,120 121 122 123
124,"sterbhus
Villingsbergs A .- B.",,Valasen .,,.,ca 16,,-,2×120,.,,.,,-,,,,,,,,,,,,,,,,,,,,,,124
120 126 127 128,Mindre distr. företag Bjurtjärns El. And. För.,RR Bjurtjärn,Lanhöjden Knappsfors Våtsjötorp . Bjurtjärn . .,AA,. . . .,ca 11 ca 22 ca 9 50,3-fas,- 50,220 220 10000/380,1904 . . 1919,. . . 2 000,. . 1 30,- - -,1115,,. . 70,1,. : 2.5,,-,40,112% .,,,,,,-,. . 112%,30,...,. . 7.000,. .,. . . .,,125 126 127 128
130,Alkvätterns A .- B. Guldsmedshytte A .- B. 5|,Grythyttan,Lanfors Blankafors,,,20 1 800,A,,1000/220 7000/199,1914,.,ca 100,,3 1,,,.,. .,.,.,,,,,,,,. .,.,1 320,5 295 000,.,. .,. .,33) År 1916,129 130
