9,10,11,12,13,14,1,1
50,5000/220,-,40,255,295,Se nr 30 o. 31,32
,10000/2000/380 o. 110,-,20,294,314,Se nr 30 o. 31,34
,"/10000/3000/500, 380, 1 220, 190",38,725,1 675,2 400,Se nr 30 0. 31,35
-,2 × 110,,,,,,36
50,10000/380,6,15,-,15,,37
.,220,,3,4.5,7.5,,38
,220,-,1,-,1,,39
,220,-,4.5,,4.5,,40
50,380,-,9,-,9,,41
-,.,,2 NO,,2,,42
-,220,,,,0.5,,43
50,30000/10000/220,,Uppgifter saknas,,,,44
,30000/10000/380,6,Uppgifter saknas,,,,45
,30000/6000,,Uppgifter,saknas,,,46
,6000/380,4,Uppgifter saknas,,,,47
,380,,Uppgifter saknas,,,,48
-,220,,0-5,-,0.5,,49
,220,,0.5,,0.5,,50
50,40000/10000/380,11,Uppgifter saknas,,,,51
-,60,,1,,1,,52
-,2 × 220,,3.5,,3.5,,53
,220,,1.5,,· 15,,54
,110,-,1,,1,,55
-,220,,,,,,
50,380,-,5,735,740,,56
.,,.,,.,.,,57
-,110,,9,,9,,58
50,6000/380,1,15,,15,,59
.,.,---,1.6,9,10.5,,60
50,220,-,7.0,3.5,10.5,,61
-,220,,4.0,11,15,,62
-,220,-,1.5,9,10.5,,63
50,3000/,2,17,15,32,,64
-,2 × 220,-,10,-,10,,65
-,2 × 220,-,,,5.5,,66
50,.,,4'5,,4.5,"Samarbetar med nris 77,",67
»,10000/220 (40000/20000/10000 o./ 1500/220,,"Anslutning
-","se nedan
-",,"81, 82, 83 0. 93 samt
1 med Smålands KraftA .- B. o. Hemsjö stationerna Transf .- effekt 1250 kVA",68 69
,,,,,,,
