1,2,,4,5,6,7,8
97,Distrib. i Mönsterås,Mönsterås,Ab. fr. Finsjö Kraft A .- B.,-,-,,3-fas
98,,,Ab. fr. Finsjö Kraft A .- B.,-,-,-,
99,» Herrstorp,,Ab. fr. Finsjö Kraft A .- B,-,-,-,
100,» Kaggetorp,,Ab. fr. Finsjö Kraft A .- B.,-,-,-,
101,» Alem,,Ab. fr. Finsjö Kraft A .- B.,-,-,-,
102,» Tillingenabben,,Ab. fr. Finsjö Kraft A .- B.,-,,-,
103,» Pataholm,,Ab. fr. Finsjö Kraft A .- B.,-,-,-,
104,Strömserums gård,Ålem,Torsrum kvarn,V,.,80,
105,Kronbäcks gård,Mönsterås,Kronbäck,,.,6,L
106,0. Johansson .....,Ålem,Gunnarström,,..,4,
107,Blomstermåla möbel- fabrik,,Blomstermåla,,.,16,
108,Maskinfabr. A .- B. Norr- backen,,Norrbacken,=,.,20,3-fas
109,A .- B. Bohman & Johans- son,,Blomsterström,,2.5-3,87,L
110,Åfors möbelfabrik,,Åfors,=,,100,
111,Sandbäckshults trä- industri,,Strömsholm,,.,25,
112,Karlsfors pappfabrik,,Karlsfors,,2.5-3,3,
113,Emil Svensson,Ryssby,Böle kvarn,,,35,
114,E. Lindell,Bäckebo,Knivingaryd,»,.,50,3-fas
115,Sievertsson,Kråksmåla,Alsterbro såg o.kvarn,,.,12.5,L
116,Alsterbro glasbruk,=,Alsterbro glasbruk,,·,19,
117,Nybro köping,,Uvafors,,.,250 1,3-fas
118,2,Nybro,Reservstation,d,,125,
119,A .- B. Flerohopps Ind.,Madesjö,Flerohopp,V,,55,
120,Flerohopps glasbruk,,Flerohopps glasbruk,,,5,L
121,Bråttsmåla kvarn,,Bråttsmåla,,.,2.5,
122,Gunnabo gård,Kristvalla,Gunnabo,,.,10,
123,Finsjö Kraft A .- B. Transformatorcentralen i Kalmar,Kalmar,-,,,,3-fas
,,,,,,,
124 125,Kalmar stads el .- verk Ortsdistrib. fr. Kalmar transf .- central,,Reservstation Ab. fr. Finsjö Kraft A .- B.,,,520,L 3-fas
126,Ortsdistrib. i Berga,,Ab. fr. Finsjö Kraft A .- B.,,-,,2
127,» Förlösa,Förlösa o. Kalmar,Ab. fr. Finsjö Kraft A .- B.,-,-,-,
128,» Lackeby ...,Åby,Ab. fr. Finsjö Kraft A .- B.,-,-,-,»
129,Dörby and .- el .- fören.,Dörby,Ab. fr. Finsjö Kraft A .- B.,,,,»
