1,2,,4,5,6,7,8,9,10,11,1
25,Rejmyre Bruks A .- B.,Skedevi,Ab. från Motala Kraftverk,-,,,3-fas,50,20000/3000/190,,25
26,Motala Kraftverk,Risinge,,:unselected:,:unselected:,:unselected:,=,,70000/40000 o. 20000,,26
27,Sekundärstationen i Finspång,,JAb. från Motala Kraftverk,:unselected:,"-
:unselected:",-,,,20000/4000,,27
,Finspångs Metallverks A .- B.,,Finspång,,15.3,1 080,,,4000/220,,28
28,Finspångs Metallverks A .- B,Hällestad,Rämminge,,7.5,950,,2,,,
29,C. Rappe,Risinge,Stjärnvik,»,-,280,,,6000/.,,29
30,Motala Kraftverk,Borg,,,:unselected:,,,,40000/20000,,30
,Sekundärstationen i Norrkö- ping vid Eksund,,,,,,,,,,
31 a,Norrköpings stad,,,-,,-,,,40000/20000,,31 a
,Transformatorstationen vid Skälf,,,,,,,,,,
31 b,Norrköpings stad Transformatorstationen i sta- den,Norrköping,,-,,-,,2,40000/3000,,31 b
32,Norrköpings stad,,Omformarestation,d,,390,3-fas/Likström,,3000/likström,,32
33 a,Fiskeby Fabriks A .- B,,Fiskeby,V,2.5,670,3-fas,50,500/110,,33 a
33 b,,,,,,585,»,,$15000/500,,33 b
,,,Ab. från Skärblacka A .- B.,-,,-,,,,,
,,,,V,2.5,320,,,,,
34,Norrköpings Bomullsväveri A .- B.,,Gryt och Draggruppen,»,,300,»,,380 o. 190,,34
,,,,å,-,700,,,,,
35,Drags A .- B.,,,v å,2.5 -,830 315,1,,380 o. 190,Samtliga an-,35
36,Holmens Bruks o. Fabriks A. B.,,Bergs Bolagsfall,V,2.9,670,2,,380 o. 190,"läggningar i
Norrköping",
37,,,Ströms övre verk,å V,3,1 500 340,,,3000 380 o. 190,erhålla kraft från eller sam-,36
,A .- B. Förenade Yllefabrikerna,,Bergsbrogruppen,å,3.5 -,1 050 600,2,2,380 o. 190 500,arbeta med stadens,37
38,Holmens Bruks o. Fabriks A .- B.,,Bergsbron-Havet,v,11,13 000,,,3000/380,elektr .- verk.,38
39,Fastighets A .- B. C. L. Svensson & Co.,,Kerstin Pommerinken,,4,20,,,,,39
40,Holmens Bruks o. Fabriks A .- B.,,Kråkholmens verk,å,7.2 -,2 050 1 875,3-fas,50,3000/380 3000,,140
41,Distr. i Dagsberg och Styrestad,"Dagsberg, Styrestad ...",Ab. från Norrköpings stad,-,-,-,,»,3000/500/190,,41
42,"Distr. i Ö. Eneby, Kvillinge El. Distr .- Fören. m. fl.","Östra Eneby, Kvillinge",,-,-,-,,,20000/380 o. 500/110,,42
43,Distr. i Kolmården,Krokek,,,,,,,20000/500/190,,43
44,P. Swartz,,» »,,,,,2,20000/500/190,,44
45,Sthlms Bomullsspinneri o. Väveri A .- B.,Kvillinge,Torshag,v,24,150,2,,380 o. 110,,45
46 a,Hults Bruk,2,Hults Bruk,,56,295,,,3000/500/110,,46 a
46 b,,,Dvardala,,15,82,,,3000/500/110,,46 b
,,,,,5-7,1 1001,,,,,
47,Skärblacka A .- B.,Kullerstad,Skärblacka ..,,2,225,,,15000/3000,,47
,,,,»,5.5,3 160,,,,,
48,Ljusfors A .- B.,,Ljusfors,å v,- 3,2 375. 1 300,,,3000/·,,48
49,Grensholms och Rosendals egen- domar,Vånga.,Ab. från A .- B. Knutsbro kraftstation,-,-,-,A,,40000/3000/-,,49
