Nr,"Företagets namn, ägare eller innehavare",Kommun,Kraftstationens namn
1,2,3,4
,Åby-Älvdals El. Fören.,Byske,Storfallet
,Fallfors El. Fören.,Byske o. Jörn,Fällforsen
3,Ullbergsträsk El. Fören.,Jörn,Ullbergsträsk
4,Mindre anläggning,,Myrheden
5,Jorns El. A .- B.11),Jörn o. Norsjö,Petiknäs . Ab. fr. Finnfors
6,Norsjö Bel. Fören.,Norsjö,Bjurfors
7,Skellefteå stads El .- verk,Skellefteå landsförs.,Finnfors.
8,"A .- B. Elektr. Ljus, Bastuträsk m. fl.",,Ab. fr. Finnfors
9,Plan-Grundfors El. Fören.,,
10,Storfallets El. Fören.,,Storfallet
11,Kusmarks El. A .- B.,,Kvarnfallet
12,Skellefteå stads El .- verk,Skellefteå stad,Kraftlev. fr. Finnfors
13,Bovikens El. Fören.,Skellefteå landsförs,Ab. fr. Skellefteå stads El .- verk
14,Distribut. i Möran-Hedensbyn,2,
15,2 » Degerbyn-Myckle,,
16,Lejonströms El. Fören.,2,
17 a,"Bureå El. Kraft o. Bel. A .- B. "")",Bureå och Lövånger,
17b,Bure A .- B.,Bureå,1 Bure Angsag
18 19,Distribut. i Ursvik » Ohrviken,Skellefteå landsförs.,Ab. fr. Skellefteå stads El .- verk
"or
20",Ostvik o. Östanbäck El. Fören.,Byske,
21 a,A .- B. Ytterstfors-Munksund,,"[Ab. fr. Skellefteå stads El .- verk
Ytterstfors"
21b,Stensjö m. fl. byars El. Fören.5),,Ab. fr. Skellefteå stads El .- verk
22,"Storkåge El. Fören."")",Byske och Skellefteå,Storkåge
23,Östra Falmarks El. Fören.13),Bureå,Falmarksforsen
24,Falmarks Såg och Kvarn A .- B.,,Falmarksträsk
25,Långbacka,,Holmsvattnet
26,Övre Bäcks El. Fören.,2,Övre Bäck
27,Bäcks El. Fören.,,Bäck
28,Burlidens Kraft A .- B. 1ª),Burträsk och Skellefteå,Burliden
29,"P. Berglund, Ånäset3)",Burträsk,J Andersfors )Ab. fr. Skellefteå stads El .- verk
30,Renbergsvattnets El. Fören.,,Renbergsvattnet
31 a,Mjodvattnets El. A .- B.,Burträsko. Lövånger,Mjödvattnet
31b,Vebomarks El. Kvarn- och Bel .- Fören.,,Vebomark
32,Bursiljums Såg A .- B.,,Bursiljum
