1,2,,4
111,Hernebo industri A .- B.,Skog,Hernebo
112,Ljusne-Voxna A .- B.,"Söderala |
loch Skog J",Guldgruvan
113 114,Norra Skogs elektr. distributionsförening .. Finnes snickerifabrik,Skog Skog och Ockelbo J,"Abon. från nr 112, Guldgruve kraftst. » » 25, Bosågens ="
115,".
Mindre kraftanläggning",Skog,Hunsbo
116,Holmsvedens stolfabrik,2,Holmsveden
117,Mindre kraftanläggning,,Henstanäs
118,,,Långbo.
119,»,,Lingbo kapell
120,A .- B. Lingbo verkstäder ...,2,Västeräng
121,Mindre kraftanläggning,,Lingbo
122,Ljusne-Voxna A .- B.,"[ Skog och )
Soderala",Kraftleverans fr. nr 123 Ljusneverken Ljusne norra
123,,Söderala,södra gas
,,,
124,Sulfit A .- B. Ljusnan,,Vallvik Bergviks norra
,,,
125,Bergvik och Ala Nya A .- B.,,» södra östra - västra
126,"Vansäters elektr. distributionsförening Haga Sunnanå
Myskje by","-
=",JAbon. från nr 125 Bergvik och Ala 1 Nya A .- B.
,,,
127,Söderala distributionsförening,,D:o
128,Askesta sågverk,,"Kraftleverans från nr 125 Bergviks
kraftstation"
129,Ala sågverk,,D:o
130,Sandarnes sulfatfabrik,Söderhamn,D:o Sandarne
131,Mindre kraftanläggning,Söderala,Ljusne
132,,,
133,Floråns kraft A .- B.,Mo,Florkvarn
184,Mindre kraftanläggning,,Kyrkbyn
135,,,Myskje
136,Hisjö kraft A .- B.,Rengsjo och Trono,Hisjö och Måssjö kraftstationer
137,Norralaåns kraft A .- B.,Norrala,Norrala kraftstation
138,Skärså elektriska A .- B.,,Skärså
139,Mindre kraftanläggning,,Fors
140,2,,Ala
141,,»,Kungsgårds
142,Trönö elektriska A .- B.,Trönö :0,Orstens
143,Mindre kraftanläggning,,Grubbe =
144,,=,Stärte
145,,,Tygsta
