1,2,3,4,5,6,7,8,9,10,1,12,,14,15,16,17,18,19,20,21,22,,1
82,Hässleholm stad ..,"Stattena Elektriska Ener- giförening, Hässleholm","Ab. från
citetsverk,","Hässleholms stads elektri-
Hässleholm",,,Trefas,50,6 000,-,Orts- Gårds-,6 000 500 & 220,06 1.2 & 1'4,20 1,10,30,-,21,10,1919,17,16),82
83,Brönnestad sin,"Sösdala Kraftbolag, Sös- dala",Vatten- turbin,200,21,190,2,50,6 000 230,50,Orts- Gårds-,6 000 & 1 500 380 & 220,"19 & 3
3 & 9",190& 40,200,200,650,130,150,1917,250,8),83
84,Tjörnarp s:n,"Tjörnarps Kraftbolag, Tjörnarp",Vatten- turbin Lokomobil,20,7.6,15,»,50,380,5,Orts- Gårds-,1 500 380,1.7,8,12,20,52,5,10,1919,35,16),84
85,Ignaberga sin,A .- B. Ignaberga Kalk-,Ab. från,"40
Sydsvenska Kraft A .- B.,",,,,50,6 000,-,Orts-,6 000,1.4,145,210,40,-,150,100,1919,5,38),85
,,"sten, Ignaberga",Karlshamn,,,,,,,,Gårds-,500 & 190,2 & 1,6,,,,,,,,,
86,,Två smärre elektricitets- verk vid Troedstorps,turbin och Vatten-,,-,4,Likström,-,220,,Gårds-,220,1,,,30,-,1,2,1918,3,2) o. 28),86
87,Vinslövs m:e,såg och Gulastorps kvarn Vinslövs Municipala,"vattenhjul|
Ab. från",Sydsvenska,,"Kraft A .- B.,",Trefas,50,6 000,-,Orts-,6 000,coco,181,92,200,-,105,69,1905,60,,87
,,"Elektricitetsverk, Vins- löv",Karlshamn,,,,,,,,Gårds-,220,,,,,,,,,,,
88,Önnestad sın,"Önnestads Andelselektri- citetsförening, Onne- stad",,D:o,d:c,,,50,20 000,50,Orts- Gårds-,1 000 190,57,38,214,130,1 000,160,75,1912,50,,88
89,Östra Göinge härad: Loshult s:n,"Sydsvenska Kraft A .- B.,",-,-,-,-,Trefas,50,40 000,325,Lands-,40 000,30,-,314,42,42,86,200,1919,300,8) o. 39),89
,,Karlshamn. Landslin-,,,,,,,,,Orts-,1 500,3,,,,,,,,,,
,,jen Lönsboda-Hökön,,,,,,,,,Gårds-,220,8,,,,,,,,,,
90,,Killebergs Andelselektri-,-,-,-,-,-,-,-,,Bygde- g,20 000,,-,-,-,-,-,-,-,-,32) - Se nr 114.,90
,,"citetsförening, Kille-",,,,,,,,,Orts-,1 500,,,,,,,,,,,
,,berg,,,,,,,,,Gårds-,220,,,,,,,,,,,
91,2,Hököns Andelselektrici-,-,-,-,-,,-,-,-,Lands-,40 000,-,-,-,-,-,-,-,-,-,32) - Se nr 89.,91
,,"tetsförening, Hökön",,,,,,,,,Orts- Gårds-,1 500 220,,,,,,,,,,,
92,Osby sin,Fyra smärre elektrici-,Vatten-,-,-,c:a 30,Likström,-,110,-,Gårds-,220,1,-,40,100,,30,30,1917,10,9) o. 18),92
93,» m:e,tetsverk vid befintliga industriella vatten- kraftanläggningar Osby Municipala Elek-,"turbiner
Ab. från",Sydsvenska,,"Kraft A .- B.,",Trefas,50,& 120 20 000,275,Orts-,3 000,5,255,368,-,-,233,125,1916,70,,93
,,"tricitetsverk, Osby",Karlshamn,,,,,,,,Gårds-,220,3,,,,,,,,,,
94,Glimåkra s:n,Källtorpsortens Andels-,,,-,-,-,-,-,-,Bygde-,20 000,,-,-,-,-,-,-,-,-,32) - Senr 114.,94
,,"elektricitetsförening,",,,,,,,,,Orts-,1 500,,,,,,,,,,,
,,Glimåkra,,,,,,,,,Gårds-,220,,,,,,,,,,,
95,,Glimåkra Andelselektri-,,-,-,-,-,-,-,-,Bygde-,20 000,-,-,-,-,-,-,-,-,-,32) - Senr 114.,95
,,"citetsförening, Glim-",,,,,,,,,Orts-,1 500,,,,,,,,,,,
,,åkra,,,,,,,,,Gårds-,220,,,,,,,,,,,
96,»,Fyra smärre elektrici-,Vatten-,-,6-2,15,Likström,-,220),-,Gårds-,220,2,-,10,40,30,3,10,1917,15,2) o. 18),96
97,Örkene s:n,tetsverk vid befintliga kvarnar och sågar Lönsboda Andelselektri-,turb. och vattenhjul -,-,-,-,-,-,"110
-",-,Lands-,40 000,-,-,,-,-,,-,-,-,32) - Se nr 89.,97
,,"citetsförening, Löns-",,,,,,,,,Orts-,1 500,,,,,,,,,,,
,,boda,,,,,,,,,Gårds-,220,,,,,,,,,,,
98,»,Tommaboda kvarn och,Vatten-,5,3,4,Likström,-,220,-,,-,-,-,4,-,20,1,4,1917,-,,98
99,Hästveda s:n,"såg, Lönsboda Hästveda Andelselektri- citetsförening",turbin,-,-,-,-,-,-,-,Lands- Orts-,20 000 1 500,,-,-,-,-,-,-,,-,32)- Senr 114.,99
100,Östra Broby sin ...,"Östanå fabriksaktiebo- lag, Glimminge",Vatten- turbin Ang- maskin,820 60,5 -,80,Likström,-,220,-,"Gårds-
Gårds-","220
220",3,-,110,600,-,150,70,1904,10,2),100
