1,2,,1,5,6 |,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,29,23,1
135,Östra Vram sin ...,"Trobro Gård, Östra Vram",Vatten- turbin,5,1.7,3,Likström,,220,-,Gårds-,220,-,-,2,100,-,1,2,1919,1,,135
136,Köpinge s:n,"Köpinge, Åsums och Hovby Andelselektri- citetsförening, Gärds Köpinge",,,-,,-,,-,,Bygde -- Orts- Gårds-,20 000 1 500 220,,-,,,,-,-,,,32 - Senr117.,136
137,Östra Sönnarslöv s:n,"Maltesholms Cement A .- B., Tollarp","Ab. från Sydsvenska
Karlshamn",,,"Kraft A .- B.,",Trefas,50,40 000,(1 110),Gårds-,500 & 190,1,43,1 282,50,-,4 500,1 060,1907,2,,137
138,Everöd s:n,"Everöds Andelselektrici- tetsförening, Everöd",Ab. fr. A .-,"B. Vittskövle, Vittskövle",,,-,,-,-,-,-,-,-,-,-,,-,-,,-,63) -Senr139.,138
139,Vittskövle sin,"A .- B. Vittskövle, Vitt-",Ab. från,Sydsvenska,,"Kraft A .- B.,",-,-,20 000,-,-,-,,326,345,350,2 500,290,130,1910,300,56),139
,,skövle,Karlshamn Ang. maskin,325,-,160,Trefas,50,2 600,125,Orts-,2 600,48,,,,,,,,,,
,,,Ångturbin,45,,28,,-,190,-,Gårds-,190,32,,,,,,,,,,
140,Albo härad: Brösarp s:n,Bengtemölla Elektrici-,Vattenhjul,10,-,2,Likström,-,110,-,Gårds-,110,-,-,1,15,,1,1,-,-,,140
141,Vitaby s:n,"tetsverk, Brösarp
Ryadals Elektricitets- verk, Vitaby",Vatten· turbin,18,-,10,,,110,-,Gårds-,110,-,,8,30,-,3,8,,10,,141
,Ingelstad härad:,,,,,,,,,,,,,,,,,,,,,,
142,Tranås sin,Tranås Kvarn och Elek-,Vattenhjul,10,2,5,Likström,,110,-,Gårds-,110,1,-,4,-,-,2,,1915,5,,142
,,"tricitetsverk, Skåne- Tranås",,,,,,,,,,,,,,,,,,,,,
143,Tryde s:n.,"Sydsvenska Kraft A .- B.,",-,-,-,-,Trefas,50,40 000,-,Lands-,50 000,4.5,-,-,-,-,-,-,1914-,50,,148
,,"Karlshamn, Linjerna",,,,,,,,,Bygde-,20 000,4 & 7,,,,,,,1920,,,
144,-,"mot Hörby, Kristine- berg och Ystad Sydsvenska Kraft A .- B.,",-,,-,-,,50,20 000,830,Bygde-,20 000,67,200,1 926,1 940,7 386,540,330,1914,550,57),144
,,"Karlshamn, Linjen",,,,,,,,,Orts-,1 500,68,,,,,,,,,,
,,Tomelilla-Simrishamn -Glemminge,,,,,,,,,Gårds-,220,25,,,,,,,,,,
145,Tryde s:n,Sälshög-Everöds Elek-,Ab. från,Tomelilla,Municipala,Elek-,,50,20 000,150,Bygde-,20 000,2,45,255,72,900,40,26,1918,125,29,145
,,triska förening,tricitetsverk,,,,,,,,Orts- Gårds-,1 500 220,8 4,,,,,,,,,,
146,Tomelilla m:e,Tomelilla Municipala,Ab. från,Sydsvenska,,"Kraft A .- B.,",,50,20 000,485,Orts-,3 000,3,445,771,-,-,740,220,1915,110,58,146
147|,Smedstorp s:n.,Elektricitetsverk Gårdslösa Elektricitets-,Karlshamn,-,-,-,,-,-,-,Gårds- Bygde-,220 20 000,6,-,-,-,-,-,-,-,-,32) - Senr 144.,147
,,"förening, Smedstorp",,,,,,,,,Orts- Gårds-,1 500 220,,,,,,,,,,,
148,m:e,Smedstorps Andelselek-,-,-,-,-,-,-,-,-,Bygde-,20 000,-,,-,-,--,-,-,-,-,32) -- Senr 144.,148
,,"tricitetsförening, Smedstorp",,,,,,,,,Orts Gårds-,1 500 220,,,,,,,,,,,
149,Övraby s:n,"Sydsvenska Kraft A .- B.,",-,-,-,-,Trefas,50,20 000,50,Bygde-,20 000,6,30,100,80,800,25,50,1920,40,59,149
,,"Karlshamn, Linjen",,,,,,,,,Orts-,1 500,4,,,,,,,,,,
,,Tomelilla-Ovrabyborg -Tosterup,,,,,,,,,Gårds-,220,,,,,,,,,,,
150,Hammenhög s:n ...,Hammenhögs Andels-,-,-,-,-,-,-,-,,Bygde-,20 000,,-,,-,-,-,,-,-,32)- Senr 144.,150
,,"elektricitetsförening,",,,,,,,,,Orts-,1 500,,,,,,,,,,,
,,Hammenhög,,,,,,,,,Gårds-,220,,,,,,,,,,,
151,Glemminge sin,"Glemmingeortens An- delselektricitetsför- ening, Glemmingebro",-,-,-,-,-,,-,,Bygde- Orts- Gårds-,20 000 1 500 220,-,-,-,,1,,-,1918,-,$2)- Senr 144.,151
