1,2,3,4,,5,6,7 .,8,9,10,11,1,18,14,16,16,17,18,19,20,21,22,25,1
152,Glemminge s:n,"Kabusa Elektricitetsverk, Glemmingebro (Mal- möhus län)",Vatten- turbin,,-,-,-,Trefas,50,500,-,Gårds-,500 & 220,1 & 0'5,1,10,-,50,1,10,1917,2,8,152
153,Borrby sin,"Borrby Andelselektrici- tetsförening, Borrby","-
:unselected:",,-,-,-,-,-,-,-,Bygde- Orts. Gårds-,20 000 1 500 220,,-,-,-,-,,-,-,-,32) - Senr144.,153
154|,Östra Hoby sin,"Östra Hoby Andelselek- tricitetsförening, Borr- by",-,,-,,-,-,-,-,-,Bygde- Orts- Gårds-,20 000 1 000 220,-,-,-,-,-,-,-,-,,$2) - Senr144.,154
155|,Löderup s:n.,"Löderups Andelselektri- citetsförening, Löde- rup",-,,,-,-,-,-,-,-,Bygde- Orts- Gårds-,20 000 1 500 220,,-,--,-,,-,-,-,-,32) - Senr 144.,155
,,,,,,,,,,,,,,,,,,,,,,,,
156,Simrishamns stad,"Simrishamns stads Elek- tricitetsverk, Simris- hamn","Ab. från Sydsvenska
Karlshamn",,,,"Kraft A .- B.,",Trefas,50,20 000,400,Orts- Gårds-,1 500 220,2 7,266,1 000,150,,600,250,1914,150,,156
157,Järrestad härad: Stiby sin,"Gärsnäs Andelselektrici- tetsförening, Gärsnäs",-,,-,-,-,-,-,,-,Bygde- Orts- Gårds-,20 000 1 500 220,-,-,-,-,-,,,-,-,32) - Senr 144.,157
158,Östra Tommarps:n,"Tommarps Andelselek- tricitetsförening, Tom- marp",-,,-,,-,-,-,-,-,Bygde- Orts- Gårds-,20 000 1 500 220,-,-,-,-,-,-,-,,-,32) - Senr 144.,158
159 160,Järrestad sin Vallby s:n,"Svenska Skolästfabriken,",Ab. från,,Sydsvenska,,"Kraft A .- B.,",Trefas,50,1 500 & 220 110 -,- -,Bygde-,20 000,-,-,(110),-,-,,6 -,- 1914 1920,-,61) 32)- Senr144.,160 |159
,,"Järrestad Vallby Andelselektrici- tetsförening, Hammen- hög",Karlshamn Vatten- turbin Ång- maskin -,,30 70 -,"2
- -","- -
10",Likström -,- -,,,Orts Gårds- Bygde- Orts- Gårds-,1 500 220 20 000 1 500 220,-,-,6 -,-,-,"15
--",,,,,
161,Simris sın,"Bjärsjö Bryggeri A .- B., Simrishamn",Vatten- turbin,,40,1.,5,Likström,-,110,-,,,-,-,2.5,-,-,3,2.5,1895,-,62,161
,,,,,,,,,,,,,,,,,,,,,,,,
162,,"Simris Andelselektrici- tetsförening, Simris- hamn",Gasmotor -,,30,-,-,-,-,-,-,Bygde- Orts- Gårds-,20 000 1 500 220,-,-,-.,-,,-,-,1919,-,32) - Senr 144.,162
163,Branteviks m:e ....,"Branteviks Andelselek- tricitetsförening, Brantevik",-,,-,-,-,-,-,-,-,Bygde- Orts- Gårds-,20 000 1 500 220,-,-,-,,-,-,-,1920,-,3º) - Senr 144.,163
