Nr,"Företagets namn, ägare eller innehavare","Kommun, stad",Kraftstationens namn eller läge,Driv- kraft,Ut- bygd fall- höjd i m,In- stallerad genera- toreffekt i kVA,Ström- art
1,2,,4,5,6,7,8
1,Yngeredsfors Kraft A .- B.,Fässberg,Transformatorcentralen i Mölndal 1,-,,,3-fas
2,=,,Omformarestationen i Krokslätt,-,-,-,
3a,Papyrus A .- B.,,Ab. från Trollhätte kraft- verk,,-,-,
3b,Ortsdistributionen i Askims härad,Askims härad,Ab. från Yngeredsfors Kraft A .- B.,,,-,
4,Trollhätte kraftverk,Örgryte,Transformatorstationen i Örgryte,-,-,-,
5,Diverse industrier i Gårda 2,,Ab. från Yngeredsfors Kraft A .- B.,-,-,,»
6,Trollhätte kraftverk,Göteborg,Transformatorcentralen i Göteborg,-,-,- -,
,,,(Ab. från Trollhätte kraft-,,-,-,2
7,Göteborgs stads el .- verk,,verk Göteborgs ångcentral,,-,10 000,L
8 9,Belysnings A .- B. Stads- gränsen-Långedrag Diverse industrier & Hi- singen,V. Frölunda Göteborg,Ab. från Göteborgs el .- verk Ab. från Trollhätte kraft- verk,- -,- -,--,3-fas
10,Backa-Tuve el. distr .- fören.,Backa och Tuve,,,-,-,
11,Säveåns A .- B.,Göteborg,,,-,,
12,Utbynäs villastad,,,,,,
13,Jonsereds Fabr. A .- B.,Partille,1 I Jonsered,V,,1 110,
14,Partilleds El. A .- B.,,|Kåbäcken Ab. fr. Trollhätte kraftverk,,34,51 -,
15,Råda el. distr .- fören. Strandlyckans el. distr .- fören,Råda,,,:unselected:,,
16,Pixbo el. distr .- fören. Långenäs el. distr .- fören. samt Råda säteri Mölnlycke Väveri A .- B.,,Mölnlycke,V,5.4,56,.
17,S. Längkvist,Landvetter,Landvetter,,,.,L
18,G. Nordblom,Härryda,Härryda,39,.,.,
19,Härryda el. and .- fören.,R,,,13.7,110,3-fas
