1,2,,4,5,6,7,8,9,10
25,Sävsjöströms Bruk,Lenhovda ....,Sävsjöström,v,2.5 -,430 30,L,-,110
26,Hovgårds Glasbruk,Älghult,Hovgård,v,.,40,3-fas,50,380
27,Älghults El. And. Fören.,2,Älghults prästkvarn,,,8,,,380
28,Alstermo Bruk,,Alstermo,,,10,L,-,2 × 220
29,Gullaskruvs El.And.Fören.,Hälleberga ..,Barkström,,,25,3-fas,50,3000/220
30a,A .- B. Kosta Glasbruk,Ekeberga,Kosta,,,.,,,3000/220
30b,A .- B. Kosta Glasbruk,...,Högaström,,,40,,,3000/380
31 Te,Ekeberga El. Distr. Fören.,,.,2,,25,,,6000/380
32,Hovmantorps Nya Glas- bruk,Hovmantorp,Hovmantorp,=,,14,,-,2 × 220
33,Hovmantorps Kraft A .- B.,,Ugnanäs,,2.3,52,3-fas,50,10000/380
34,A .- B. Karlskrona Trä- export,,Öjen,,.,78,,,380
35a,Lessebo A .- B.,,Lessebo,,-,385 900,,,1000/220 och 8000
35b,Lessebo A .- B.,Linneryd,Öljeholm,V,6,590,,,8000/220
36a,Emmaboda El. A .- B.,Algutsboda ..,Åbykvarn,,.,40,,,6000/190
36b,Emmaboda El. A .- B.,..,Getasjökvarn,,4,50,,,6000/190
37,Linneryds El. And. Fören.,"Linneryd, Älmeboda",Bro kvarn,,2.5 .,60,»,,6000/380
38,Dångs A .- B.,"Sandsjö, Tingsås",Dång,,2'6 -,150 60,=,,6000/500/220 och 190
39,G. Holmberg,Sandsjö,Böket,V,3,20,,,1500/380
40,Fagerfors Gjuteri & Mek Verkstad,,Fagerfors,,2'6-3'1,60,,,10000/380 (Senr 29 i Blekinge
41a,Hanefors Kraft A .- B. 1,Ö. Torsås m. fl. socknar,Hanefors,,,500 -,,,län)
41b,Hanefors Kraft A .- B.,av Konga o.,Ingelstad,,3.7,"100
-",,,| 20000/1500/380
41 c,Hanefors Kraft A .- B.,"Kinnevalds
härader",Sunnansjö,,6,250,,,loch 20000/380
42,Furuby El. And. Fören ...,Furuby,Skäve kvarn,,4,16,,,6000/380
43,Sigrid Posse,Bergunda ...,Bergkvara,,.,.,I,-,2 × 220
44,"Växjö El. Verk, Ostra Förstadens El. Fören.,",Växjö och Hemmesjö,Ab. fr. Sydsvenska Kraft A .- B. Växjö El. Verk,-,- -,- 300,3-fas,50,20000/6000/380 och 190
,Telestads och Skirs El. Fören. och Hovs El. A .- B.,,,,,,,,
45,"Helgevärma-Öjaby And.
El. Fören.",Öjaby,Ab. fr. Sydsvenska Kraft A .- B,-,-,-,,,20000/1500/220
46,Gemla m. fl. byars And. El. Fören.,Öja,,-,-,-,,,20000/1500/220
47,Ängaholms El. Verk,"Öja, Aringsås, Lekaryd och Blädinge",Ohs Ab. fr. Sydsvenska Kraft A .- B.,v,4'3,190,,»,20000/6000/380
